RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFU;;FFU_N-102-FFU_G-3600/3828;FFU_N-102-FFU_G-3600/3828
FFU G;FFU-252-FFU_W;;
FFU W;FFU_G-252-352-FFU_B-3828;;
FFU B;FFU_W-FNF_N-3828/3600;;
F425A;FFU_S-FNF_N;;
F426A;FFU_S-FNF_N;;
F687B;FFU_B-FNF_N;;
F684A;FFU_B-FNF_N;;
F685A;FFU_B-FNF_N;;
F682B;FFU_B-FNF_N;;
F683A;FFU_B-FNF_N;;
FNF N;FFU-642-FNF;;
FNF;FNF_N-602-FNFS;;
FNFS;FNF-FFD;;
F692A;FNFS-FFD;;
F693B;FNFS-FFD;;
FFD;FNFS-3-FEL;;
F021B;FFD-FEL;;
F022D;FFD-FEL;;
F024B;FFD-FEL;;
F023C;FFD-FEL;;
F026B;FFD-FEL;;
FEL;FFD-3-FSTZ;;
F031C;FEL-FSTZ;;
F028B;FEL-FSTZ;;
F030C;FEL-FSTZ;;
F033C;FEL-FSTZ;;
FSTZ;FEL-2-NJS;;
F032D;FSTZ-NJS;;
F035C;FSTZ-NJS;;
F037C;FSTZ-NJS;;
F034D;FSTZ-NJS;;
F036D;FSTZ-NJS;;
F039C;FSTZ-NJS;;
YFNJ;FSTZ-NJS;;
NJS;FFU-2-NGM;;
NQJS;NJS-NGM;;
NOBS;NJS-NGM;;
N442A;NJS-NGM;;
N 42D;NJS-NGM;;
NMSN;NJS-NGM;;
N 41E;NJS-NGM;;
N 441;NJS-NGM;;
NBN;NJS-603-NGM;;
NSB;NJS-1-NGM;;
NRCK;NJS-NGM;;
N 966;NJS-NGM;;
NZG;NJS-1-NGM;;
