RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AXFW;XDPA-AFR;;
A096P;XDPA-AFR;;
A099F;XDPA-AFR;;
AFR;XDPA-AFW;;
AFW;AXFW-207/205-ASW;;
ATP;AFW-AJ;;
A090F;AFW-AJ;;
A091N;AFW-AJ;;
AJ;AF-701-AN;;
A088F;AJ-ASW;;
A089N;AJ-ASW;;
ASY;AJ-ASW;;
ASW;AF-802-AOS;;
A086S;ASW-AOS;;
A087N;ASW-AOS;;
AOS;AF-502-AN;;
A85OW;AOS-AR;;
A084F;AOS-AR;;
A083N;AOS-AR;;
AR;AF-001/072/080-AN;;
AON;AR-080/082/101-AN H101;;
ABM N;AR-AN;;
ABM S;AR-AN;;
A078F;AR-AN;;
A077N;AR-AN;;
ANF;AF-502-AN;;
A075N;AR-AN;;
A076F;AR-AN;;
AN  G;AF-15-AN;;
AN;AN G-15/5-AEL;;
A084K;AN-ABST;;
A083A;AN-ABST;;
A082K;AN-ABST;;
A081A;AN-ABST;;
ABRS;AN-202-AEL;;
A072K;ABRS-AWST;;
A071A;ABRS-AWST;;
AWST;AN-2-AEL;;
A062A;AWST-ADH;;
A061W;AWST-ADH;;
ADH;AN-1-AEL;;
A052K;ADH-AEL;;
A051A;ADH-AEL;;
AHOT;AN-AEL;;
AEL N;AN-112-AEL;;
AEL;AEL N-102-AH;;
A046K;AEL-ATM;;
A049A;AEL-ATM;;
A44EL;AEL-ATM;;
A047A;AEL-ATM;;
A042T;AEL-ATM;;
A045A;AEL-ATM;;
A043A;AEL-ATM;;
ATM;AEL-1-AP;;
A040K;ATM-AP;;
A039A;ATM-AP;;
A038K;ATM-AP;;
APD;ATM-AP;;
A036K;ATM-AP;;
A037A;ATM-AP;;
A035A;ATM-AP;;
AP;ATM-5-AA;;
A034K;AP-AE N;;
A033A;AP-AE N;;
A032K;AP-AE N;;
A031A;AP-AE N;;
AQE;AP-AE;;
AE  N;AEL-1-AA;;
AE  O;AEL-630-AA;;
AE  F;AEL-AA;;
A028K;AEL-ALA;;
A027A;AEL-ALA;;
ALAA;AEL(1220-2)-ALA(1220-2);;
ALA;ALAA(1220-2)-AAR(1232-2);;
AA  G;ALA(1232-2)-307-AAR(1232-2);;
AAR;ALA-AH;;
A116R;AAR-AH;;
A115R;AAR-AH;;
A114R;AAR-AH;;
A113R;AAR-AH;;
A112S;AAR-AH;;
A111R;AAR-AH;;
A109R;AAR-AH;;
ASTZ;AAR-AH;;
A108D;AAR-AH;;
A1106;AAR-AH;;
A106D;AAR-AH;;
A1105;AAR-AH;;
A105S;AAR-AH;;
ADF;AAR-AH;;
A1104;AAR-AH;;
A104H;AAR-AH;;
A1103;AAR-AH;;
A103D;AAR-AH;;
A101D;AAR-AH;;
AH;AAR-569/214-ANEB;;
A420H;AH-AVL;;
A418H;AH-AVL;;
A421A;AH-AVL;;
A416H;AH-AVL;;
A419H;AH-AVL;;
A417H;AH-AVL;;
ANEB;AH-AVL;;
A415H;AH-AVL;;
AVL;AH(2200)-AWLBA(1280);;
A510A;AVL-AWLBA(1280-2) Gz;;
A511B;AVL-AWLBA(1280-2);;
AWLBA;AVL(1280)-AHAR(1280);;
A506A;AWLBA-AHAR(1280-2);;
AWLBS;AWLBA-AHAR;;
A504A;AWLBA-AHAR(1280-2);;
A505B;AWLBA-AHAR(1280-2);;
A502A;AWLBA-AHAR(1280-2);;
A503B;AWLBA-AHAR(1280-2);;
AHAR;AVL(1280)-030-AMD(1280);;
A194A;AHAR-AMD(1280-2);;
A195B;AHAR-AMD(1280-2);;
A193H;AHAR-AMD(1280-2);;
A192A;AHAR-AMD(1280-2);;
AQM G;AHAR-AM;;
A191B;AHAR-AMD(1280-2);;
AMD;AHAR(1280)-AM  O(1280-2);;
AM  O;AMD(1280-2)-AM  N(1280-2);;
AM  N;AM  O(1280-2)-1108-AM  W(1280-2);;
AM  W;;AM  N(1280-2)-1210/1760-AM  S(1280-2);AM  N(1280-2)-1210/1760-AM  S(1280-2)
