RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HBR A;;HBR M-2-HUTB;HBR M-2-HUTB
HUTB;HBR A-AH;;
H963U;HUTB-ASAG;;
H965U;HUTB-ASAG;;
H964O;HUTB-ASAG;;
H966U;HUTB-ASAG;;
HBON;HUTB-903-ASAG;;
AQSA;HUTB-ASAG;;
A021R;HUTB-ASAG;;
A022S;HUTB-ASAG;;
ASAG;HB-2-AROG;;
A031S;ASAG-AROG;;
A032O;ASAG-AROG;;
A033S;ASAG-AROG;;
A034O;ASAG-AROG;;
AOBG;ASAG-2-AROG;;
A041O;ASAG-AROG;;
A042S;ASAG-AROG;;
A043O;ASAG-AROG;;
A044S;ASAG-AROG;;
AS;ASAG-2-AROG;;
A551S;ASAG-AROG;;
A552R;ASAG-AROG;;
A553S;ASAG-AROG;;
A554R;ASAG-AROG;;
AROG;;HB-6-ABLZ(1283-0);HB-6-ABLZ(1283-0)
