RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HLER;;HH-1/710/823-HHI GR;HH-1/710/823-HHI GR
H291S;HLER-H292L;;
H292L;H291S-HSEN;;
HSEN;HLER-202-HHI;;
HALG;HSEN-101-HHRS;;
HHRS;HLER-HHI;;
HHI;HLER-36-HNOS;;
HHI G;HHI-231-HHTA;;
H5543;HHI-HHTA;;
H5143;HHI-HHTA;;
H5542;HHI-HHTA;;
H5142;HHI-HHTA;;
HHTA;HHI-HEMK;;
H5146;HHI-HROS;;
H5549;HHI-HROS;;
H5149;HHI-HROS;;
H5548;HHI-HROS;;
HEMK;HHI-HROS;;
H5551;HHI-HROS;;
H5550;HHI-HROS;;
H5150;HHI-HROS;;
HROS;HHI-HNOS;;
HNOS;HHI-11-HELZ;;
H01NE;HNOS-HELZ;;
H02EN;HNOS-HELZ;;
H03NE;HNOS-HELZ;;
H103E;HNOS-HELZ;;
H04EN;HNOS-HELZ;;
H05NE;HNOS-HELZ;;
H06EN;HNOS-HELZ;;
H106E;HNOS-HELZ;;
H07NE;HNOS-HELZ;;
H08EN;HNOS-HELZ;;
HELZ;HNOS-2-HK;;
H3603;HELZ--HK;;
H3602;HELZ-HK;;
H3605;HELZ-HK;;
H3604;HELZ-HK;;
H3607;HELZ-HK;;
H3606;HELZ-HK;;
HBAN;HELZ-202-HK;;
H3613;HELZ-HK;;
H3612;HELZ-HK;;
H3715;HELZ-HK;;
H3714;HELZ-HK;;
H3717;HELZ-HK;;
H3716;HELZ-HK;;
HGOD;HELZ-301-HK;;
H3721;HELZ-HK;;
H3820;HELZ-HK;;
HALF;HELZ-502-HK;;
H3825;HELZ-HK;;
H0125;HELZ-HK;;
H3824;HELZ-HK;;
H3827;HELZ-HK;;
H0126;HELZ-HK;;
H3826;HELZ-HK;;
H3829;HELZ-HK;;
H3928;HELZ-HK;;
H3931;HELZ-HK;;
H3930;HELZ-HK;;
H3933;HELZ-HK;;
H3932;HELZ-HK;;
HFRE;HELZ-301-HK;;
H3941;HELZ-HK;;
H3940;HELZ-HK;;
H3943;HELZ-HK;;
H3942;HELZ-HK;;
H4045;HELZ-HK;;
H0145;HELZ-HK;;
H4044;HELZ-HK;;
H4047;HELZ-HK;;
H0146;HELZ-HK;;
H4046;HELZ-HK;;
H4049;HELZ-HK;;
H4048;HELZ-HK;;
H4051;HELZ-HK;;
H4050;HELZ-HK;;
HK;HELZ-503-HEB;;
H4053;HK-HN;;
H4052;HK-HN;;
H4055;HK-HN;;
H4154;HK-HN;;
H4157;HK-HN;;
H0156;HK-HN;;
H4156;HK-HN;;
H4159;HK-HN;;
H4158;HK-HN;;
HEB;HK-401-HN;;
H4163;HK-HN;;
H121E;HK-HN;;
H122E;HK-HN;;
H124E;HEB-HEDN;;
H123E;HEB-HEDN;;
H126E;HEB-HEDN;;
HEDN;HK-HN;;
HEDS;HK-HN;;
HN;HK-2/102-HNTH;;
HN  G;HK-102-HNTH;;
H31NN;HN-HNTH;;
H32NN;HN-HNTH;;
H33NN;HN-HNTH;;
H34NN;HN-HNTH;;
H35NN;HN-HNTH;;
H36NN;HN-HNTH;;
H37NN;HN-HNTH;;
HNTH;HN(1732)-2-HG(1732);;
H551G;HNTH-HG;;
H552G;HNTH-HG;;
H553G;HNTH-HG;;
H554G;HNTH-HG;;
H555G;HNTH-HG;;
H556G;HNTH-HG;;
HG  N;HNTH-312-HG;;
HG  G;;HNTH-112-HG;HNTH-112-HG
