RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BODK;;BXF-5-BFP;BXF-5-BFP
BFP;BODK-406-BPIL;;
B7060;BFP-BPIL;;
B7059;BFP-BPIL;;
B7058;BFP-BPIL;;
B7057;BFP-BPIL;;
B7056;BFP-BPIL;;
B7055;BFP-BPIL;;
BFRS;BFP-BPIL;;
B7054;BFP-BPIL;;
B7053;BFP-BPIL;;
B7052;BFP-BPIL;;
B7051;BFP-BPIL;;
B6950;BFP-BPIL;;
B6949;BFP-BPIL;;
BPIL;BFRS-2-BBSN;;
B6948;BPIL-BBSN;;
B6947;BPIL-BBSN;;
B6946;BPIL-BBSN;;
BJF;BPIL-BBSN;;
B6945;BPIL-BBKR;;
B6844;BPIL-BBKR;;
B6843;BPIL-BBKR;;
B6842;BPIL-BBKR;;
B6841;BPIL-BBKR;;
BBSN;BPIL-2-BBKR;;
B6840;BBSN-BBKR;;
B6839;BBSN-BBKR;;
B6838;BBSN-BBKR;;
B6837;BBSN-BBKR;;
B6836;BBSN-BBKR;;
B6735;BBSN-BBKR;;
B6734;BBSN-BBKR;;
B6733;BBSN-BBKR;;
B6732;BBSN-BBKR;;
B6731;BBSN-BBKR;;
BBKR;BBSN-2-BFUW;;
B6730;BBKR-BFUW;;
B6729;BBKR-BFUW;;
B6728;BBKR-BFUW;;
B6527;BBKR-BFUW;;
B6526;BBKR-BFUW;;
B6525;BBKR-BFUW;;
BFUW;BBKR-2-BHGB;;
B6524;BFUW-BHGB;;
B6523;BFUW-BHGB;;
B6522;BFUW-BHGB;;
B6521;BFUW-BHGB;;
B6420;BFUW-BHGB;;
B6419;BFUW-BHGB;;
B6418;BFUW-BHGB;;
B6417;BFUW-BHGB;;
B6416;BFUW-BHGB;;
B6415;BFUW-BHGB;;
BHGB;BFUW-BFS;;
B6414;BHGB-BFS;;
B6413;BHGB-BFS;;
B6412;BHGB-BFS;;
B6411;BHGB-BFS;;
B6410;BHGB-BFS;;
B6409;BHGB-BFS;;
B6308;BHGB-BFS;;
B6307;BHGB-BFS;;
B6306;BHGB-BFS;;
B6305;BHGB-BFS;;
BFS;BHGB-2-BERK;;
B6304;BFS-BERK;;
B6302;BFS-BERK;;
B6303;BFS-BERK;;
B6214;BFS-BERK;;
B6263;BFS-BERK;;
B6213;BFS-BERK;;
BERK;BFS-2-BKP;;
BQER;BERK-BKP;;
B6211;BERK-BFRH;;
B6110;BERK-BFRH;;
B6109;BERK-BFRH;;
BRDF;BERK-BFRH;;
BFHG;BRD-BKP;;
BKP;;BFRH-5-BSST;BFRH-5-BSST
