RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WRS;;WRSN-135/42-WRSS;WRSN-135/42-WRSS
WRSS;WRS-42-WKV;;
WKV;WRS-2-WLA;;
W692;WKV-WLA;;
WST;WKV-WLA;;
W681;WKV-WLA;;
WKRP;WKV-WLA;;
WLA;WKV-2-WPZ;;
WSBN;WLA-WPZ;;
WSBA;WLA-WPZ;;
WPZ;WLA-WLDO;;
WPZA;WLA-WLDO;;
WLDO;WPZ-WVR;;
WLG;WLDO-2-WVR;;
WVR;WLG-2-WGOH;;
W 158;WVR-WWR;;
W 156;WVR-WWR;;
W 157;WVR-WWR;;
W 155;WVR-WWR;;
WGOH;WVR-2-WWR;;
WWR;WGOH-222-WKGW;;
WKGW;WWR-2-WNT;;
W 116;WWR-WNT;;
W 118;WWR-WNT;;
W 117;WWR-WNT;;
W 115;WWR-WNT;;
WKG;WWR-2-WNT;;
W 112;WKG-WNT;;
W 114;WKG-WNT;;
W 113;WKG-WNT;;
W 111;WKG-WNT;;
WNT;WKG-2-WF;;
W076;WNT-WF;;
W075;WNT-WF;;
WDRE;WNT-WF;;
W074;WNT-WF;;
W072;WNT-WF;;
W073;WNT-WF;;
W071;WNT-WF;;
WQF;WNT-WF;;
WF;WNT-2-WGRA;;
W056;WF-WGRA;;
W055;WF-WGRA;;
W054;WF-WGRA;;
W053;WF-WGRA;;
WDWE;WF-WGRA;;
WSEI;WF-WGRA;;
WGRA;WF-2-WLO;;
W 044;WGRA-WLO;;
W 042;WGRA-WLO;;
W 043;WGRA-WLO;;
W 041;WGRA-WLO;;
WLO;WGRA-3-WGRG RG;;
W 212;WLO-WNAS GG;;
W 214;WLO-WNAS GG;;
WGRG;WLO-1-WNAS GG;;
W 193;WLO-WNAS GG;;
W 191;WLO-WNAS GG;;
WNAS;WGRG-1-BOR GR;;
BSAH;BFN-BOR;;
BOR;WNAS-28-BBI;;
BBOD;BOR-BBI;;
BBI N;BOR-2-BBI;;
BBI;;BOR-2-BSFW LK;BOR-2-BSFW LK
