RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WW;;WWIL-3-WW N 60;WWIL-3-WW N 60
WW  N;WW-61-WDN;;
W3775;WW-WDN;;
W3776;WW-WDN;;
W3779;WW-WDN;;
W3796;WW-WDN;;
W3780;WW N-WDN;;
W3787;WW-WDN;;
W3784;WW-WDN;;
W3795;WW-WDN;;
W3791;WW-WDN;;
W3788;WW-WDN;;
WDN;WW-1-WKT;;
W3783;WDN-WKT;;
W3782;WDN-WKT;;
W3785;WDN-WKT;;
W3794;WDN-WKT;;
W3786;WDN-WKT;;
W5187;WDN-WKT;;
W5188;WDN-WKT;;
W5195;WDN-WKT;;
W5191;WDN-WKT;;
W5190;WDN-WKT;;
WKT;WDN-01-WKWA;;
W5183;WKT-WKWA;;
W5182;WKT-WKWA;;
W5185;WKT-WKWA;;
W5194;WKT-WKWA;;
W5184;WKT-WKWA;;
W5287;WKT-WKWA;;
W5286;WKT-WKWA;;
W5289;WKT-WKWA;;
W5295;WKT-WKWA;;
W5288;WKT-WKWA;;
W5291;WKT-WKWA;;
W5290;WKT-WKWA;;
WKWA;WKT-1-WGRB;;
WQKW;WKWA-WGRB;;
W5283;WKWA-WGRB;;
W5282;WKWA-WGRB;;
W5285;WKWA-WGRB;;
W5294;WKWA-WGRB;;
W5284;WKWA-WGRB;;
W5387;WKWA-WGRB;;
W5395;WKWA-WGRB;;
W5386;WKWA-WGRB;;
W5389;WKWA-WGRB;;
W5388;WKWA-WGRB;;
WGRB;WKWA-1-WL;;
W5383;WGRB-WL;;
W5382;WGRB-WL;;
W5485;WGRB-WL;;
W5484;WGRB-WL;;
W5487;WGRB-WL;;
W5486;WGRB-WL;;
WL;WGRB-1/401-WJAS;;
W5483;WL-WJAS;;
W5584;WL-WJAS;;
WJAS;WL-1-WHL;;
W5583;WJAS-WHL;;
W5592;WJAS-WHL;;
W5582;WJAS-WHL;;
WSTK;WJAS-WHL;;
W5585;WJAS-WHL;;
W5595;WJAS-WHL;;
W5084;WJAS-WHL;;
WHL;WL-11H/31-WBRH;;
W5083;WHL-WPRZ;;
W5092;WHL-WPRZ;;
W5082;WHL-WPRZ;;
W5685;WHL-WPRZ;;
W5695;WHL-WPRZ;;
W5684;WHL-WPRZ;;
WPRZ;WHL-1-WBRH;;
W5683;WPRZ-WBRH;;
W5682;WPRZ-WBRH;;
WBRH;WPRZ-1-WBZ;;
W5783;WBRH-WBZ;;
W5792;WBRH-WBZ;;
W5782;WBRH-WBZ;;
W5885;WBRH-WBZ;;
W5895;WBRH-WBZ;;
W5884;WBRH-WBZ;;
WBZ;WBRH-1-ABCH;;
W5883;WBZ-WSAH;;
W5892;WBZ-WSAH;;
W5882;WBZ-WSAH;;
WSAH;WBZ-ABCH;;
W5987;WSAH-ABCH;;
WQSA;WBZ-ABCH;;
YBWSB;WHL-ABCH;;
A5986;WHL-ABCH;;
ABCH;WHL-3/67-ABCHG;;
ABCHG;ABCH-3/4/57-AH;;
ASTT;ABCH-AH;;
A465M;ABCH-AH;;
A464S;ABCH-AH;;
AMUE;ABCH-AH;;
A467M;ABCH-AH;;
A466M;ABCH-AH;;
A469S;ABCH-AH;;
A468S;ABCH-ASWA;;
ASWA;ABCH-603-AH;;
A471F;ABCH-AH;;
A470S;ABCH-AH;;
A473F;ABCH-AH;;
A472S;ABCH-AH;;
A475F;ABCH-AH;;
A474S;ABCH-AH;;
A477W;ABCH-AH;;
A476W;ABCH-AH;;
A977W;ABCH-AH;;
A577W;ABCH-AH;;
AFRD;ABCH-AH;;
A976A;ABCH-AH;;
A576W;ABCH-AH;;
AAH A;ABCH-802-AH;;
A479A;ABCH-AH;;
A480R;ABCH-AH;;
A481S;ABCH-AH;;
A482A;ABCH-AH;;
A483R;ABCH-AH;;
A484R;ABCH-AH;;
AQRB;ABCH-AH;;
ABG;ABCH-702-AALM;;
ABG G;ABCH-712-AALM;;
AALM;ABCH-AHBIU;;
AHBIU;AALM-30-AHBI;;
AHBI;AHBIU(1280-0)-70-AHROF(1280-0);;
AHBIA;AHBIU(1280-0)-70-AHROF(1280);;
A693A;AHBI-AHROF;;
A694B;AHBI-AHROF;;
AHROF;AHBI(1280)-122-AHROO;;
AHROO;AHROF-122/102-AVL;;
A517B;AHROO-AOHA;;
AOHA;AHROO-AVL;;
AVL;AOHA(1280)-AHAR(1280) Gz;;
A510A;AVL-AWLBA(1280-2) Gz;;
A511B;AVL-AWLBA(1280-2);;
AWLBA;AVL(1280)-AHAR(1280);;
A506A;AWLBA-AHAR(1280-2);;
AWLBS;AWLBA-AHAR;;
A504A;AWLBA-AHAR(1280-2);;
A505B;AWLBA-AHAR(1280-2);;
A502A;AWLBA-AHAR(1280-2);;
A503B;AWLBA-AHAR(1280-2);;
AHAR;AVL(1280)-030-AMD(1280);;
A194A;AHAR-AMD(1280-2);;
A195B;AHAR-AMD(1280-2);;
A193H;AHAR-AMD(1280-2);;
A192A;AHAR-AMD(1280-2);;
AQM G;AHAR-AM;;
A191B;AHAR-AMD(1280-2);;
AMD;AHAR(1280)-AM  O(1280-2);;
AM  O;AMD(1280-2)-AM  N(1280-2);;
AM  N;AM  O(1280-2)-1108-AM  W(1280-2);;
AM  W;;AM  N(1280-2)-1210/1760-AM  S(1280-2);AM  N(1280-2)-1210/1760-AM  S(1280-2)
