RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BRSF;;BBF-2-BZO;BBF-2-BZO
BPM;BRSF-BDAB;;
BDAB;BRSF-BZO;;
BZO A;BRSF-BZO;;
BZO;BRSF-2-BWUE;;
BWUE;BZO-1-BNE;;
BNE;BWUE-BBA;;
BBA;BNE-1-BGO;;
BKDF;BBA-BGO;;
BGO;BBA-1-BUK;;
BDF;BGO-BUK;;
BUK;BGO-1-BWA;;
BWA;BUK-2-BBRS;;
BBRS;BWA-1-BDKN;;
BDKN;BBRS-1-BDKO;;
BDKO;BDKN-301-701-BRO;;
BRO;BDKO-1-BHL;;
YBLOR;BDKO-BEW;;
BHL;BDKO-1-BEW;;
BEW;BDKO-2-DGB;;
YLLEW;BEW-DGB;;
BPW;BEW-DGB;;
BQFR;BEW-DGB;;
BFR;BEW-1-DGB;;
DZT;BEW-DGB;;
DGB;BEW-1-DAZ;;
D1138;DGB-DKOT;;
D1137;DGB-DKOT;;
D1136;DGB-DKOT;;
D1135;DGB-DKOT;;
D1133;DGB-DKOT;;
D1131;DGB-DKOT;;
D1132;DGB-DKOT;;
DKOT;DGB-DAZ;;
D1114;DKOT-DAZ;;
D1112;DKOT-DAZ;;
D1115;DKOT-DAZ;;
D1110;DKOT-DAZ;;
D1113;DKOT-DZA;;
D1111;DKOT-DAZ;;
D1108;DKOT-DAZ;;
D1109;DKOT-DAZ;;
D1106;DKOT-DAZ;;
D1107;DKOT-DAZ;;
D1104;DKOT-DAZ;;
D1105;DKOT-DAZ;;
D1102;DKOT-DAZ;;
D1103;DKOT-DAZ;;
DWE;DKOT-1-DAZ;;
D 771;DKOT-DAZ;;
D 772;DKOT-DAZ;;
D 773;DKOT-DAZ;;
D 774;DKOT-DAZ;;
D 775;DKOT-DAZ;;
D 776;DKOT-DAZ;;
DAZ;DKOT-DF;;
DRBA;DGB-DF;;
DRBN;DRBA-DF;;
DNI;DRBA-DF;;
DPUM;DRBA-DF;;
DCB;DRBA-2-DF;;
DSTT;DRBA-DF;;
DKE;DRBA-DF;;
DCT;DRBA-DF;;
DCTA;DRBA-DF(6248);;
DF;;DRBA-202-DH;DRBA-202-DH
