RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NNR A;;NNLW-310/746-NNR B;NNLW-310/746-NNR B
NNR B;NNR A-746-NNEI;;
NNEI;NNR B(5942)-23-NNRF(5320) H2;;
NNRF;NN-1-NRO;;
N 21B;NN-NRO;;
N 22B;NN-NRO;;
NSC;NN-2-NRO;;
N 13A;NN-NRO;;
N 14A;NN-NRO;;
N 11A;NN-NRO;;
N 12A;NN-NRO;;
NRO;NSC-3-NPLF;;
N 10A;NN-MTL;;
NUT;NN-MTL;;
N   8;NN-MTL;;
N   7;NN-MTL;;
NGE;NN-3-MTL;;
N  3B;NN-MTL;;
NMST;NN-MTL;;
N  4C;NN-MTL;;
N  2B;NN-MTL;;
N  1E;NN-MTL;;
NPLF;NN-3-MTL;;
N 419;NN-MTL;;
N 420;NN-MTL;;
NEL;NN-MTL;;
N 418;NN-MTL;;
N 417;NN-MTL;;
NWG;NN-3-MTL;;
N 416;NN-MTL;;
N 415;NN-MTL;;
N 414;NN-MTL;;
N 514;NN-MTL;;
N 513;NN-MTL;;
N 413;NN-MTL;;
N 412;NN-MTL;;
N 411;NN-MTL;;
MTL;;NN-4-MIH;NN-4-MIH
