RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
MN  A;;MN  L-612-MN  M;MN  L-612-MN  M
MN  M;MN  A-MN  F;;
MN  F;MN  M-MOL;;
M 502;MMBH-MOL;;
YMMOL;MMBH-MOL;;
M503A;MMBH-MOL;;
MOL;MN  L-5-MA(5503) 8;;
M605A;MP-MA;;
M 604;MP-MA;;
M607A;MP-MA;;
M606A;MOL-MA;;
M609A;MP-MA;;
M608A;MP-MA;;
M 610;MP-MA;;
M 611;MP-MA;;
M 612;MP-MA;;
M 613;MP-MA;;
M614A;MP-MA;;
M615A;MP-MA;;
M616A;MP-MA;;
M617A;MP-MA;;
M618A;MP-MA;;
M619A;MP-MA;;
M620A;MP-MA;;
M621A;MP-MA;;
M622A;MP-MA;;
M623A;MP-MA;;
M624A;MP-MA;;
M625A;MP-MA;;
M626A;MP-MA;;
MMRU;MP-MA;;
M 629;MP-MA;;
M 630;MP-MA;;
M 631;MP-MA;;
M 632;MP-MA;;
M633A;MP-MA;;
M634A;MP-MA;;
M635A;MP-MA;;
M636A;MP-MA;;
M637A;MP-MA;;
M638A;MP-MA;;
MAHZF;MP-1-MA;;
MAHA;MP-MA;;
MA;MAHZ-2/111-TU(FB) 9;;
MAOB;MA(5302-1)-1-MAHI;;
MAHI;MA-1-MDKS;;
MNES;MA-TU;;
MWHS;MA-3-TU;;
M111A;MA-TU;;
M110A;MA-TU;;
M113A;MA-TU;;
MDID;MA-TU;;
M112A;MA-TU;;
M 115;MA-TU;;
M114A;MA-TU;;
MGHN;MA-3-MNFG;;
M119A;MA-TU;;
MKUN;MA-TU;;
M118A;MA-TU;;
M 121;MA-TU;;
M120A;MA-TU;;
M 123;MA-TU;;
M 122;MA-TU;;
M 125;MA-TU;;
M 124;MA-TU;;
MDKS;MA-3-TU;;
M  1A;MA-TU;;
M  2B;MA-TU;;
M  3B;MA-TU;;
M   4;MA-TU;;
M   5;MA-TU;;
M   6;MA-TU;;
MFHD;MA-TU;;
MFHU;MA-2-TU;;
M  11;MA-TU;;
M  12;MA-TU;;
MJET;MA-TU;;
M  13;MA-TU;;
M  14;MA-TU;;
MBGU;MA-2-TU;;
M  15;MA-TU;;
M  16;MA-TU;;
M  17;MA-TU;;
MMAH;MA-TU;;
M  19;MA-TU;;
M  18;MA-TU;;
M  21;MA-TU;;
M  20;MA-TU;;
MOFF;MA-1-TU;;
YKMNO;MDKS-MNFG;;
MNFG;MA-4-TU;;
M151U;MNFG-MGZB;;
M152U;MNFG-MGZB;;
M153U;MNFG-MGZB;;
M154U;MNFG-MGZB;;
MGZB;MNFG-3-TU;;
M155U;MNFG-TU;;
M156U;MNFG-TU;;
M157U;MNFG-TU;;
M158U;MNFG-TU;;
MLEH;MNFG-TU;;
M159U;MNFG-TU;;
M160U;MNFG-TU;;
M161U;MNFG-TU;;
M162U;MNFG-TU;;
MUFH;MNFG-4-TU;;
MNSG;MNFG-2-TU;;
M165U;MNFG-TU;;
M166U;MNFG-TU;;
M167U;MNFG-TU;;
M168U;MNFG-TU;;
M169U;MNFG-TU;;
M170U;MNFG-TU;;
MNM;MA-1-TU;;
TQUF;MA-TU;;
TU;MA-F-10 RBF 1-8;;
TU  R;;TU-10-506;TU-10-506
