RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
XASB;;XASB423-MFL;XASB423-MFL
XAML;XASB-981-MFL;;
XAAI;XASB-961-MFL;;
XASBG;XASB-MFL;;
XATX;XASB-931-MFL;;
XA 22;XASB-MFL;;
XA 21;XASB-MFL;;
XA 11;XASB-MFL;;
XA 12;XASB-MFL;;
XALIW;XASB-901-MFL;;
MXSZ;XASB-MFL;;
MFL;XASB-4-MTS;;
M 282;MFL-MTS;;
M 281;MFL-MTS;;
M 280;MFL-MTS;;
M 277;MFL-MTS;;
M 278;MFL-MTS;;
MTO;XASB-603-MRO;;
M 274;MFL-MTS;;
M 273;MFL-MTS;;
M272B;MFL-MTS;;
M 270;MFL-MTS;;
M271B;MFL-MTS;;
MLT;MFL-MTS;;
MHFG;MFL-MTS;;
M 267;MFL-MTS;;
MTS;XASB-3-MRO;;
M 264;MTS-MRO;;
M 265;MTS-MRO;;
M 262;MTS-MRO;;
MBE;MTS-MRO;;
M 363;MTS-MRO;;
M 263;MTS-MRO;;
MRUM;MTS-MRO;;
M 260;MTS-MRO;;
M259B;MTS-MRO;;
MUS;XASB-303-MRO;;
M258B;MTS-MRO;;
M257C;MTS-MRO;;
MROT;MTS-MRO;;
M 254;MTS-MRO;;
MBN;MTS-MRO;;
M 253;MTS-MRO;;
M 252;MTS-MRO;;
M 251;MTS-MRO;;
MPR;MFL-2402-MRO;;
M 332;MPR-MRO;;
M 334;MPR-MRO;;
M 333;MPR-MRO;;
MRG;MPR-MRO;;
M 331;MPR-MRO;;
MBEF;MFL-2-MRO;;
M 328;MPR-MRO;;
M 327;MPR-MRO;;
M 324;MPR-MRO;;
M326A;MPR-MRO;;
M323A;MPR-MRO;;
M322A;MPR-MRO;;
M 321;MPR-MRO;;
MALD;MPR-2-MRO;;
MART;MPR-1-MARS;;
MARS;MART-1-MKI;;
M281A;MRO-MKI;;
M282A;MRO-MKI;;
MPFR;MRO-MKI;;
MRA;MRO-3101-MKI;;
M 285;MRO-MKI;;
M 286;MRO-MKI;;
MBB;MRO-3201-MKI;;
MFLI;MRO-MKI;;
MFI;MRO-3301-MKI;;
M 292;MRO-MKI;;
M 291;MRO-MKI;;
MODU;MRO-MKU;;
MOD;MRO-MKI;;
M 295;MRO-MKI;;
M 296;MRO-MKI;;
MKI;MRO-3401-XAKN;;
MXKU;MRO-XAKN;;
XAKN;;MRO-502-XAWL;MRO-502-XAWL
