RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NAH;;FKO-6-NHOE;FKO-6-NHOE
N904A;NAH-NAH_G;;
N903A;NAH-NAH_G;;
NAH G;NAH-906-NHOE;;
N912C;NAH_G-NHOE;;
N911A;NAH_G-NHOE;;
NHOE;NAH_G-122-NLA;;
N150A;NHOE-NLA;;
N149A;NHOE-NLA;;
YFMLH;NAH-NGM;;
NLA;NAH-2-NGM;;
N140B;NAH-NGM;;
N139B;NAH-NGM;;
N138D;NAH-NGM;;
N137B;NAH-NGM;;
NHEIW;NAH-1-NGM;;
NHEI;NAH-3-NGM;;
N 122;NAH-NGM;;
N 121;NAH-NGM;;
NWI;NAH-3-NGM;;
N 108;NAH-NGM;;
N 107;NAH-NGM;;
NPAR;NAH-3-NGM;;
N102A;NAH-NGM;;
N101A;NAH-NGM;;
NLO;NAH-52-NAN;;
N201B;NAH-NGM;;
N202B;NAH-NGM;;
NNAN;NAH-NGM;;
N 928;NAH-NGM;;
N 927;NAH-NGM;;
NLP;NAH-401-NGM;;
