RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NLP;NGM-402-NAH;;
N 927;NGM-NAH;;
N 928;NWH-NGM;;
NNAN;NGM-NAH;;
N202B;NGM-NAH;;
N201B;NGM-NAH;;
NLO;NAN-53-NAH;;
N101A;NGM-NAH;;
N102A;NGM-NAH;;
NPAR;NGM-2-NAH;;
N 107;NGM-NAH;;
N 108;NGM-NAH;;
NWI;NGM-1-NAH;;
N 121;NGM-NAH;;
N 122;NGM-NAH;;
NHEI;NGM-2-NAH;;
NHEIW;NGM-2-NAH;;
N137B;NGM-NAH;;
N138D;NGM-NAH;;
N139B;NGM-NAH;;
N140B;NGM-NAH;;
NLA;NGM-3-NAH;;
YFMLH;NGM-NAH;;
N149A;NLA-NHOE;;
N150A;NLA-NHOE;;
NHOE;NLA-123-NAH_G;;
N911A;NHOE-NAH_G;;
N912C;NHOE-NAH;;
NAH G;NHOE-909-NAH;;
N903A;NAH_G-NAH;;
N904A;NAH_G-NAH;;
NAH;;NHOE-8-FKO-3660;NHOE-8-FKO-3660
