RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NBA;;NF-06-NLF 10;NF-06-NLF 10
NHAL;NBA-503-NLF;;
NBG;NBA-4-NHM;;
NEG;NBA-NLF;;
NZA;NBA-1-NLF H1;;
N 490;NBA-NLF;;
NED;NBA-NLF;;
N 491;NBA-NLF;;
NSFN;NBA-401-NLF;;
NLF;NBA-3-NHM H1;;
N 25D;NLF-NHM;;
N 26F;NLF-NHM;;
NMI;NLF-NHM;;
NHM;NLF-6-UPR 6;;
N 51B;NHM-UPR;;
N 52B;NHM-UPR;;
NRZ;NHM-UPR;;
N 53C;NHM-UPR;;
N 54C;NHM-UPR;;
NKUE;NHM-1-UPR;;
N 57E;NHM-UPR;;
N 157;NHM-UPR;;
NKMU;NHM-UPR;;
NNEU;NHM-UPR;;
NK;NHM-2-UPR;;
N 72D;NHM-UPR;;
NGD;NHM-UPR;;
N 71C;NHM-UPR;;
N 173;NHM-UPR;;
N172A;NHM-UPR;;
NSTH;NHM-UPR;;
N 73C;NHM-UPR;;
N 74B;NHM-UPR;;
NPR;NHM-2-UPR;;
NFDF;NHM-201-UPR;;
NSD;NHM-4-UPR;;
NLUS;NHM-1-UPR;;
N 592;NHM-UPR;;
N 591;NHM-UPR;;
YLMPF;NLUS-UPR;;
UQPR;NLUS-UPR;;
UPR;NLUS-1-UHR;;
UMG;UPR-UHR;;
U2958;UPR-UHR;;
U2857;UPR-UHR;;
UUZ;UPR-UHR;;
UUZA;UPR-UHR;;
UHR;UPR-US;;
UKLD;UHR-US;;
UKL;UHR-US;;
U2852;UHR-US;;
U2851;UHR-US;;
UBZ;UHR-US;;
US;;UHR-2618-UTR;UHR-2618-UTR
