RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NBA;;NF-06-NS 10;NF-06-NS 10
NHN;NBA-1-NS;;
NOH;NBA-401-NS H2;;
N 461;NBA-NS;;
N 462;NBA-NS;;
NSTAA;NBA-NS;;
NSTAF;NBA-NS;;
N 481;NBA-NS;;
N 482;NBA-NS;;
NEE;NBA-102-NS;;
NZK;NBA-NS;;
NZ;NBA-202-NS;;
N  9B;NBA-NS;;
N 10B;NBA-NS;;
NHT;NBA-2-NS;;
N  61;NBA-NS;;
N 62A;NBA-NS;;
NGAE;NBA-501-NS;;
N 571;NBA-NS;;
N 572;NBA-NS;;
NSST;NBA-601-NS;;
NSMT;NBA-NS;;
NS;NBA-6-NWA;;
N 421;NS-NRTD;;
N 422;NS-NRTD;;
N 23A;NS-NRTD;;
N 24A;NS-NRTD;;
NBR;NS-NRTD;;
N 25A;NS-NRTD;;
N 26A;NS-NRTD;;
NWA;NS-3-NGM;;
NMHW;NWA-2-NGM;;
NARN;NWA-2-NGM;;
NT;NWA-3-NGM;;
NEM;NWA-3-NGM;;
NWFD;NWA-452-NGM;;
NGM;;NWA-22/3-NJS 6 H1;NWA-22/3-NJS 6 H1
