RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NNR A;;NNLW-310/744-NNR B;NNLW-310/744-NNR B
NNR B;NNR A(5951)-744-NHMA(5951);;
N 821;NNRA-NNST;;
NHMA;NNR B-714-NNST;;
NNST;NHMA-3-NAN;;
N 51C;NN-NAN;;
NUA;NN-NAN;;
N 52E;NN-NAN;;
NOA;NN-NAN;;
N 53F;NN-NAN;;
N 54E;NN-NAN;;
N 56D;NN-NAN;;
NAWN;NN-NAN;;
N 55C;NN-NAN;;
NRL;NN-1-NAN;;
NRW;NN-NAN;;
N 58E;NN-NAN;;
N 57D;NN-NAN;;
N 60D;NN-NAN;;
NRAH;NN-NAN;;
N 59C;NN-NAN;;
N 62D;NN-NAN;;
N 61D;NN-NAN;;
NHE;NN-2-NAN;;
N 63B;NN-NAN;;
N 64A;NN-NAN;;
N 66A;NN-NAN;;
NPEN;NN-NAN;;
N 65B;NN-NAN;;
NWK;NN-2-NAN;;
N 68C;NN-NAN;;
N 67C;NN-NAN;;
N 70B;NN-NAN;;
NSA;NN-NAN;;
N 69C;NN-NAN;;
N 72E;NN-NAN;;
N 74F;NN-NAN;;
N 71D;NN-NAN;;
N 73E;NN-NAN;;
N 76A;NN-NAN;;
N 75B;NN-NAN;;
N  78;NN-NAN;;
NAN;NN-2-NWH 10/8;;
N 27B;MTL-NWH;;
N 26C;MTL-NWH;;
NLE;MTL-301-NWH;;
N 28B;MTL-NWH;;
N 29B;MTL-NWH;;
N 30B;MTL-NWH;;
N 31C;MTL-NWH;;
NON;MTL-2-NWH;;
N 33A;MTL-NWH;;
N 32A;MTL-NWH;;
N 35A;MTL-NWH;;
N 34B;MTL-NWH;;
NBUW;MTL-NWH;;
NSTN;MTL-2-NWH;;
N 37B;MTL-NWH;;
N 36C;MTL-NWH;;
N 36A;MTL-NWH;;
N 39B;MTL-NWH;;
NERM;MTL-NWH;;
N 38D;MTL-NWH;;
N 38B;MTL-NWH;;
N 41B;MTL-NWH;;
NU;MTL-3-NWH;;
NHH;MTL-201-NWH;;
N 44B;MTL-NWH;;
N  45;MTL-NWH;;
N 47A;MTL-NWH;;
N  46;MTL-NWH;;
NMT;MTL-302-NWH;;
NOF;MTL-2-NWH;;
N 48A;MTL-NWH;;
N 49A;MTL-NWH;;
NGOD;MTL-NWH;;
NWN;MTL-402-NWH;;
N 51A;MTL-NWH;;
N 50A;MTL-NWH;;
NWHO;MTL-1-NWH;;
NWHWU;MTL-NWH;;
N 953;MTL-NWH;;
N952A;MTL-NWH;;
N 955;MTL-NWH;;
N954A;MTL-NWH;;
NWS;MTL-NWH;;
N 957;MTL-NWH;;
N 956;MTL-NWH;;
NWH;;NAN-16-FFU 6 U2;NAN-16-FFU 6 U2
