RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
NROB;;NRH-1-NOT;NRH-1-NOT
NBWH;NRH-NOT;;
NROS;NRH-NOT;;
NOT;NRH-1-NPA Dwre;;
NMG;NOT-1-NPL;;
N 26H;NOT-NPL;;
N 25I;NOT-NPL;;
N 24H;NOT-NPL;;
N 23H;NOT-NPL;;
N 22H;NOT-NPL;;
N 21D;NOT-NPL;;
NSUE;NOT-1-NPL;;
N 18C;NOT-NPL;;
N 17A;NOT-NPL;;
NRA;NOT-2-NPL;;
N 14C;NOT-NPL;;
N 13C;NOT-NPL;;
N 12F;NOT-NPL;;
N 11F;NOT-NPL;;
NST;NOT-4-NPL;;
N 900;NOT-NPL;;
N 901;NOT-NPL;;
N898A;NOT-NPL;;
N 899;NOT-NPL;;
NSK;NOT-1-NPL;;
N 894;NOT-NPL;;
N 895;NOT-NPL;;
N 892;NOT-NPL;;
N 893;NOT-NPL;;
NPL;NOT-3-NPA;;
N 794;NPL-NPA;;
N 795;NPL-NPA;;
N 792;NPL-NPA;;
N 793;NPL-NPA;;
N 790;NPL-NPA;;
N 791;NPL-NPA;;
NOS;NOT-1-NPA;;
N 786;NPL-NPA;;
N 787;NPL-NPA;;
NGIU;NPL-2-NPA;;
NPLG;NPL-NPA;;
N 783;NPL-NPA;;
N 782;NPL-NPA;;
N 781;NPL-NPA;;
N 780;NPL-NPA;;
NVIB;NPL-NPA;;
NVI;NPL-2-NPA;;
NSAN;NPL-1-NPA;;
N 62C;NPL-NPA;;
N 63C;NPL-NPA;;
NSI;NPL-601-NPA;;
NPA G;;NN-327-NPA;NN-327-NPA
