RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LMS;;LM-3801-LEI;LM-3801-LEI
L3921;LMS-LEI;;
L3911;LMS-LEI;;
L3912;LMS-LEI;;
L3922;LMS-LEI;;
LNR;LMS-1-LEI;;
LWL;LMS-LEI;;
LOL;LMS-LEI;;
LDD;LMS-1-LEI;;
L4116;LMS-LEI;;
L4126;LMS-LEI;;
L4225;LMS-LEI;;
L4215;LMS-LEI;;
LOV;LMS-LEI;;
LEI G;LMS-31/71-LEI;;
LEI;LMS-31/73-HHLM;;
LWF;LEI-1-HHLM;;
LMBN;LEI-1-HHLM;;
L4417;LEI-HHLM;;
L4427;LEI-HHLM;;
L4518;LEI-HHLM;;
L4528;LEI-HHLM;;
LHBK;LEI-HHLM;;
LQHB;LEI-HHLM;;
YLHBL;LHBK-HHML;;
HHLM;LM-1-HBS;;
H244F;HHLM-HFST;;
H243H;HHLM-HFST;;
H242F;HHLM-HFST;;
H241H;HHLM-HFST;;
H240F;HHLM-HFST;;
HFST;HHLM-232-HWEA;;
H232K;HFST-HKOL;;
H233F;HFST-HKOL;;
H230K;HFST-HKOL;;
H231F;HFST-HKOL;;
HKOL;HHLM-2-HWEA;;
H212S;HKOL-HSDL;;
H213K;HKOL-HSDL;;
H210S;HKOL-HSDL;;
H211K;HKOL-HSDL;;
HSDL;HHLM-2-HWEA;;
HWEA;HHLM-HBUH;;
HWED;HWEA-HBUH;;
H3316;HWED-HBUH;;
HBUH;HWED-HSMK;;
HSMK;HBUH-HBS;;
HBS;HSMK-404HBS 2;;
