RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
DXS;XTDP(7808)-DSA(6240);;
DSN;XTDP-1-DSA;;
D  36;XTDP-DSA;;
DSMI;XTDP-DSA;;
D  37;XTDP-DSA;;
D  40;XTDP-DSA;;
D  43;XTDP-DSA;;
D  46;XTDP-DSA;;
DSO;XTDP-1-DSA;;
DKRP;DSO-DSA;;
DSA;DSN-1-DPI;;
D6761;DSA-DPI;;
D6763;DSA-DPI;;
D6764;DSA-DPI;;
D6765;DSA-DPI;;
D6767;DSA-DPI;;
D6766;DSA-DPI;;
DKOH;DSA-DPI;;
D6569;DSA-DPI;;
D6568;DSA-DPI;;
D6570;DSA-DPI;;
D6571;DSA-DPI;;
D6572;DSA-DPI;;
DKOU;DSA-DPI;;
D6577;DSA-DPI;;
D6579;DSA-DPI;;
D6578;DSA-DPI;;
DRAT;DSA-1-DPI;;
D6581;DSA-DPI;;
D6583;DSA-DPI;;
D6587;DSA-DPI;;
D6584;DSA-DPI;;
D6586;DSA-DPI;;
DWH;DSA-DPI;;
D6589;DSA-DPI;;
D6590;DSA-DPI;;
D6591;DSA-DPI;;
D6592;DSA-DPI;;
D6594;DSA-DPI;;
DOG;DSA-DPI;;
D 499;DSA-DPI;;
D 100;DSA-DPI;;
D 101;DSA-DPI;;
D 102;DSA-DPI;;
DPI;DSA-4-DHD(6239);;
D 573;DPI-DHD;;
D 590;DPI-DHD;;
DHDG;DPI-DHD;;
D 607;DPI-DHD;;
D 608;DPI-DHD;;
D 627;DPI-DHD;;
DHDS;DPI-DHD;;
D 628;DPI-DHD;;
DHD;DPI(S)-1-DH(S);;
DZSW;DHD(S)-DH(S);;
DNSH;DHD(S)-DH(S);;
D 797;DHD(S)-DH(S);;
D 808;DHD(S)-DH(S);;
DD;DHD(S)-DH(S);;
DRK;DHD(S)-4-DH(S);;
D 917;DHD(S)-DH(S);;
D 928;DHD(S)-DH(S);;
DSTH;DHD(S)-DH(S);;
D 947;DHD(S)-DH(S);;
D 958;DHD(S)-DH(S);;
DH;DRK(6239)-293-DFS(515);;
DFS;DH(361)-515-DF(6244);;
DF;;DH-201-DRBA;DH-201-DRBA
