RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LS  G;;LMGA-717/17-LS GR;LMGA-717/17-LS GR
LS;LSG-13/200-LBIN;;
LBIN;LS(6107)(R)-3-LSTL(6428);;
LSTL;LBIN-LSHH;;
LSHH;LSTL(T)-LRW(T);;
LQRW;LSHH-T-LRW;;
LRW;LSHH(T)(6185)-2-LBM(T);;
LBM;LRW-T-LNS;;
LNS;LBM(R)-804-LBOW(R);;
L7740;LBM(R)-LBOW(R);;
L7541;LBM(R)-LBOW(R);;
LBOW;LNS(R)-704-LRIK(R);;
LRIK;LBOW(R)-BWUSN(T);;
YBLWB;LIRK-BWUSN;;
BWUSN;LRIK-T-BSPD;;
BWUS;LRIK-T-BSPD;;
BQSTA;BWUS-T-BNDM;;
BNDM;BWUS-T-BSPDW;;
B8711;BNDM-T-BSPDW;;
BSPDW;BNDM-T-716-BSPD;;
BSPD;BSPDW-7162-BSPDM;;
BSPDM;BSPD-716-BRUH;;
BRUH;BSPD-637-BWD;;
BWD;BRUH-523/503-BCHG;;
BCHG;BWD-111-BHLRN;;
BHLRN;BCHG-104-BGD R;;
BGD R;BHLRN-9-BGD S;;
BGD S;BGD R-R-BWS;;
B 107;BGD S-BWS;;
B 108;BGD S-BWS;;
BWS;BGD S-335-BGBSO;;
BQGB;BWS-BGBSO;;
BGBSO;BWS-BPD;;
BGBS;BGBSO-723-BPD;;
BPD;BGBS-133 -BWP;;
B 913;BPD-BWP;;
B 916;BPD-BPDC;;
BPDC;BPD-BWP;;
BWPO;BPD-BWP RG;;
BWP;BPD-624-BWP G;;
BWP G;BWP-624/654-BGOL;;
BGOL;BWP-1-BSAT D2;;
B9804;BGOL-BSAT;;
B9803;BGOL-BSAT;;
BMQU;BGOL-BSAT;;
BSAT;BGOL-2-BPOT;;
B9702;BSAT-BPOT;;
B9704;BSAT-BPOT;;
BPOT;;BSAT-23/3/12-BAWF;BSAT-23/3/12-BAWF
