RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
LMR F;;LGLB-A1-LMR;LGLB-A1-LMR
LMR;LMRF-B1-LMN;;
LMN;LMR-6-LM(6406);;
LM;LGLB(6406)-12-LSB(6406);;
LMB;LM(6406)-6-LSB(6406);;
LMB B;LMB(Gl6)-80-LMSO;;
LMSO;LMB(6406)-3-LSB(6406);;
L5512;LMSO-LSB;;
L5517;LMSO-LSB;;
LSB G;LMSO(6406)-3-LSB(6406);;
LSB;LMSO-3-LSEE 12;;
L5528;LSB-LSEE;;
L5526;LSB-LSEE;;
LSBF;LSB-LSEE;;
L5525;LSB-LSEE;;
L5527;LSB-LSEE;;
L0129;LSB-LSEE;;
L0131;LSB-LSEE;;
LGND;LSB-LSEE;;
L0132;LSB-LSEE;;
L0130;LSB-LSEE;;
LSEE;LSB-LCBO;;
LCBO;LSEE-2101-LK;;
L0341;LCBO-LSAD;;
L0340;LCBO-LSAD;;
LSAD;LCBO-1-LK;;
LWU;LCBO-LK;;
LOSM;LCBO-LK;;
LK;LCBO-7/7-LKD(6403);;
LK  D;LK-7-LH;;
LK  C;LK-7-LH;;
LK  R;LK-7-LH;;
LAF;LK-LH;;
LWG;LK-LH;;
LSTF;LK-1-LH;;
LNM;LK-1-LH;;
LBI;LK-LH;;
LZBR;LK-LH;;
LHG M;LK-149-LHGU;;
LHG U;LHGM-149/38-LHG;;
LHG;;LHGU-38-LHAL(6349);LHGU-38-LHAL(6349)
