RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
SSR N;;SNK-114/239-SSH;SNK-114/239-SSH
SSR O;SNK-239-SSH O;;
SSH O;SSR-SHO;;
S803S;SSH-SHO;;
SSO;SSH-SHO;;
S806S;SSH-SHO;;
S807S;SSH-SHO;;
SSU;SSH-SHO;;
S 812;SSH-SHO;;
SSD;SSH-SHO;;
S 813;SSH-SHO;;
S 816;SSH-SHO;;
SRE;SSH-SHO;;
S 817;SSH-SHO;;
SSI;SSH-102-SHO;;
SRO;SSH-302-SHO;;
S 833;SSH-SHO;;
S8133;SSH-SHO;;
S 834;SSH-SHO;;
S8134;SSH-SHO;;
SKI;SSH-SHO;;
S 842;SSH-SHO;;
S 841;SSH-SHO;;
SLB;SSH-SHO;;
S 845;SSH-SHO;;
S8145;SSH-SHO;;
S 846;SSH-SHO;;
S8146;SSH-SHO;;
SHO;SSH-04-SKL;;
S 867;SHO-SKL;;
S8167;SHO-SKL;;
S 870;SHO-SKL;;
S8170;SHO-SKL;;
SQBU;SHO-SKL;;
S 875;SSH-SKL;;
S8175;SSH-SKL;;
S 876;SSH-SKL;;
S8176;SSH-SKL;;
SBUM;SSH-SKL;;
SHPT;SSH-01-SKL;;
SLDN;SHO-SKL;;
SLD;SSH-1-SKL ZEB13;;
SKIB;SSH-41-SKL ZEB13;;
SEF;SSH-R2/N2-SKL;;
S 19E;SSH-SKL;;
S 20E;SSH-SKL;;
SVO;SSH-SKL;;
SKLS;SSH-SKL;;
S21HK;SSH-SKL;;
S22HK;SSH-SKL;;
SKEN;SSH-SKL;;
SKL;SSH-104-RN;;
S 1KN;SKL RN;;
S 2KN;SKL-RN;;
S 3KN;SKL-RN;;
S 4KN;SKL-RN;;
S 6KN;SKL-RN;;
S 5KN;SKL-RN;;
S 8KN;SKL-RN;;
S 7KN;SKL-RN;;
SHY;SKL-03-RN;;
SHY O;SSH-RN;;
R 13N;SKL-RN;;
R 12N;SKL-RN;;
R 14N;SKL-RN;;
RFST;SKL-RN;;
R 15N;SKL-RN;;
R 16N;SKL-RN;;
RWD;SKL-1N 2-RN;;
R 19N;SKL-RN;;
RNFS;SKL-RN;;
R 23N;SKL-RN;;
RWDG;SKL-RN;;
R 22N;SKL-RN;;
RNFL;SKL-RN;;
R 25N;SKL-RN;;
R 24N;SKL-RN;;
RLBP;SKL-7N 2-RN;;
R 35N;SKL-RN;;
R 34N;SKL-RN;;
R 37N;SKL-RN;;
R 36N;SKL-RN;;
RN;SSH-3/253-RM;;
RNBO;SSH-253-RM;;
RN  O;SSH-253-RM;;
R 41N;RN-RL;;
R 40N;RN-RL;;
R 43N;RN-RL;;
R 42N;RN-RL;;
RHLO;RN-N 1-RL ZEB107;;
R447L;RN-RL;;
R446L;RN-RL;;
RBOH;RN-RL;;
RBOE;RN-RL ZEB105;;
RBOA;RN-RSD-RL;;
R483L;RN-RL;;
RSD;SSH-N 2II-RM;;
R587L;RN-RL;;
R586L;RN-RL;;
R589L;RN-RL;;
R588L;RN-RL;;
RLI;RN-504-RL;;
RLIA;RSD-RL;;
RLUR;RN-404/504-RM;;
RLUM;RN-R504/51-RM;;
RL  K;RN-T 51-RL;;
RL  T;RN-T51/13-RM;;
RL  S;RN-N 13-D-RM;;
RLSM;RL-D-RM;;
RQLM;RL-D-RM;;
RM;RL-D-T083;;
RM  O;RM-T083-RMR;;
RMR W;RM-R635-RMR K;;
RMR K;;RMR K-RMR D;RMR K-RMR D
