RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RMR G;;RMR M-P101-RM;RMR M-P101-RM
RMR W;RMR M-P101-RM;;
RM  O;RMR-S077-RM;;
RM;S077-C-RL;;
RQLM;RM-C-RL;;
RLSM;RM-C-RL;;
RL  S;RM-C-4/5-RL T;;
RL  T;RM-U4/53-RN;;
RL  K;RL-V 53-RN;;
RLUM;RM-V53/601-RN;;
RLUR;RM-401-RN;;
RLIA;RL-401-RN LIV Z10;;
R556L;RL-RN;;
R557L;RL-RN;;
R554L;RL-RN;;
R555L;RL-RN LIV;;
RBOA;RL-RN LIV ZEB105;;
RBOE;RL-RN;;
RBOH;RL-RN ZEB107;;
R446L;RL-RN;;
R447L;RL-RN;;
RHLO;RL-P 2-RN ZEB107;;
R 42N;RL-RN;;
R 43N;RL-RN;;
R 40N;RL-RN;;
R 41N;RL-RN;;
RN  O;RM-252-SSH;;
RNBO;RM-252-SSH;;
RN;RM-252/2-SSH;;
R 36N;RN-SKL;;
R 37N;RN-SKL;;
R 34N;RN-SKL;;
R 35N;RN-SKL;;
RLBP;RN-7P 3-SKL;;
R 24N;RN-SKL;;
R 25N;RN-SKL;;
RNFL;RN-SKL;;
R 22N;RN-SKL;;
RWDG;RN-SKL;;
R 23N;RN-SKL;;
RNFS;RN-SKL;;
R 19N;RN-SKL;;
RWD;RN-1P 1-SKL;;
R 16N;RN-SKL;;
R 15N;RN-SKL;;
RFST;RN-SKL;;
R 14N;RN-SKL;;
R 12N;RN-SKL;;
R 13N;RN-SKL;;
SHY O;RN-SKL;;
SHY;RN-02-SKL;;
S 7KN;RN-SKL;;
S 8KN;RN-SKL;;
S 5KN;RN-SKL;;
S 6KN;RN-SKL;;
S 4KN;RN-SKL;;
S 3KN;RN-SKL;;
S 2KN;RN-SKL;;
S 1KN;RN-SKL;;
SKL;RN-43-SSH;;
SKEN;SKL-SSH;;
S22HK;SKL-SSH;;
S21HK;SKL-SSH;;
SKLS;SKL-SSH;;
SVO;SKL-SSH;;
S 20E;SKL-SSH;;
S 19E;SKL-SSH;;
SEF;SKL-S1/P1-SSH;;
SKIB;SKL-42-SSH ZEB14;;
SLD;SKL-2-SSH ZEB14;;
SLDN;SKL-SHO;;
SHPT;SKL-02-SSH;;
SBUM;SKL-SSH;;
S8176;SKL-SSH;;
S 876;SKL-SSH;;
S8175;SKL-SSH;;
S 875;SKL-SSH;;
SQBU;SKL-SHO;;
S8170;SKL-SHO;;
S 870;SKL-SHO;;
S8167;SKL-SHO;;
S 867;SKL-SHO;;
SHO;SKL-13-SSH;;
S8146;SHO-SSH;;
S 846;SHO-SSH;;
S8145;SHO-SSH;;
S 845;SHO-SSH;;
SLB;SHO-SSH;;
S 841;SHO-SSH;;
S 842;SHO-SSH;;
SKI;SHO-SSH;;
S8134;SHO-SSH;;
S 834;SHO-SSH;;
S8133;SHO-SSH;;
S 833;SHO-SSH;;
SRO;SHO-301-SSH;;
SSI;SHO-103-SSH;;
S 817;SHO-SSH;;
SRE;SHO-SSH;;
S 816;SHO-SSH;;
S 813;SHO-SSH;;
SSD;SHO-SSH;;
S 812;SHO-SSH;;
SSU;SHO-SSH;;
S807S;SHO-SSH;;
S806S;SHO-SSH;;
SSO;SHO-SSH;;
S803S;SHO-SSH;;
SSH O;SHO-SSR;;
SSR O;SSH O-239/237-SNK;;
SSR N;;SSH O-239-114-SNK;SSH O-239-114-SNK
