RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
RKR;;RKHA-107/493-RBRU;RKHA-107/493-RBRU
RBRU;RKR-RRA 8;;
RETL;RK-N 2-RRA;;
RBRH;RK-RRA;;
R  1R;RK-RRA;;
R101R;RK-RRA;;
R  2R;RK-RRA;;
R102R;RK-RRA;;
R  3R;RK-RRA;;
R  4R;RK-RRA;;
R  5R;RK-RRA;;
R105R;RK-RRA;;
R  6R;RK-RRA;;
R106R;RK-RRA;;
RMS;RK-RRA;;
RMU;RK-N202-RRA BÃ?;;
R  7R;RK-RRA;;
RRA;RMU-N 3-RAP;;
R 19R;RRA-RAP;;
R 18R;RRA-RAP;;
R121K;RRA-RAP*1;;
R 21K;RRA-RAP;;
R 20K;RRA-RAP;;
RRAS;RRA-RAP NBS;;
RSAW;RRA-RAP;;
RBB;RRA-506-RAP;;
R929O;RRA-RAP;;
R829O;RRA-RAP;;
R828O;RRA-RAP;;
R928O;RRA-RAP;;
R831O;RRA-RAP;;
R830O;RRA-RAP;;
R933O;RRA-RAP;;
RBNB;RRA-N305-RAP;;
R832O;RRA-RAP;;
ROW;RRA F-N5-RAP F;;
R837O;RRA-RAP;;
R836O;RRA-RAP;;
RAH F;RRA-N505-RAP;;
R841O;RRA-RAP;;
R840O;RRA-RAP;;
ROEN;RRA F-RAP F;;
R845O;RRA-RAP;;
R844O;RRA-RAP;;
R847O;RRA-RAP;;
R846O;RRA-RAP;;
RAPR;RRA F-RAP F;;
RAP;RRA F-N 4-RO F;;
RAPM;RAP F-RO R 8;;
RWAE;RAP-ROG;;
ROG E;RWÃ?-ROG A;;
ROG A;;RWÃ?-R 27-RO;RWÃ?-R 27-RO
