RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TK  N;;TK O-86-TLU;TK O-86-TLU
TLU;TK N-1-TBM/F;;
TAX;TS/F-5-TBM/F;;
T378V;TS-TBM;;
TTM;TS/F-4/9H-TBM/F;;
T268V;TS-TBM;;
TBM;TS/F-7-TM;;
TBME;TBM-TM;;
T231V;TBM-TM;;
T232V;TBM-TM;;
T233V;TBM-TM;;
T234V;TBM-TM;;
TSA;TBM-4-TM;;
T252V;TBM-TM;;
T251V;TBM-TM;;
TSER;TBM-TM;;
YTTSE;TBM-TV;;
TAIB;TBM-TM;;
TV;TBM-6-RM 4;;
T370V;TV-RM;;
T 70V;TV-RM;;
TMTL;TV-RM;;
TFST;TV-RM;;
RKT;TS-P605-RM;;
R347M;RKT-RHK;;
R 47M;TS-RM;;
RES;RKT-RHK;;
RROL;RKT-RBR;;
RBRR;RROL-RBR RG;;
RBR;;RH-N10-RK 6GR;RBRO-P10-RGN 6
RBRP;RBR-RGN;;
RBRL;RBR-RGN;;
R3751;RBR-RGN;;
RBMT;RBR-RGN;;
R3752;RBR-RGN;;
RKF;RBR-RGN;;
R3753;RBR-RGN;;
R3754;RBR-RGN;;
RGN;RBR-P 4-RMZ R;;
R326G;RGN-RSZ;;
R325G;RGN-RSZ;;
RMZ;RGN-RSZ RTB;;
R222G;RGN-RSZ;;
RWI;RGN-RSZ;;
R221G;RGN-RSZ;;
RWG;RGN-P 2-RSZ;;
R520G;RGN-RHK;;
R519G;RGN-RHK;;
R548G;RGN-RHK;;
R518G;RGN-RHK;;
R517G;RGN-RHK;;
R547G;RGN-RHK;;
RNL;RGN-RHK;;
RHK;RWG G-401-RSZ;;
R316G;RHK-RM;;
R315G;RHK-RM;;
RSZ S;RHK-RSZ;;
ROFH;RHK-RSZ;;
RSZ;RHK-P10-RMF;;
R242S;RSZ-RMF;;
R243S;RSZ-RMF;;
R241S;RSZ-RMF;;
RZHB;RSZ-RMR;;
RMR D;RSZ-RMR E;;
RMR M;;RSZ-RMR E;RSZ-RMR E
