RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
TSU;;Pbf-203H-TSM;Pbf-203H-TSM
TSEB;TSU-TKH;;
T413S;TSU-TSZA;;
T414S;TSU-TSZA;;
TSM;TSU-1-TKH;;
TSZAH;TSU-TKH;;
TSZA;TSU-657-TV;;
TSZ E;TSU-TV;;
T586V;TS-TV;;
T559V;TS-TV;;
TLAF;TS-TV;;
TGLM;TS-TV;;
T376V;TS-TV;;
T 76V;TS-TV;;
T377V;TS-TV;;
T 77V;TS-TV;;
T375V;TS-TV;;
T 75V;TS-TV;;
TV;TS-5-RM;;
T370V;TV-RM;;
T 70V;TV-RM;;
TMTL;TV-RM;;
TFST;TV-RM;;
RKT;TS-P605-RM;;
R347M;RKT-RHK;;
R 47M;TS-RM;;
RES;RKT-RHK;;
RROL;RKT-RHK;;
RFO;RKT-RHK;;
RLH;TS-RM;;
RSAB;RKT-RHK;;
ROBH;RGN-RHK;;
R321M;RGN-RHK;;
R 21M;RKT-RHK;;
RHK;NBS F-405-RP;;
R316M;RHK-RM;;
R 16M;RHK-RM;;
RBRW;RHK-RM;;
RP;RHK-RM;;
R732M;RHK-RM;;
R702M;RHK-RM;;
R733M;RHK-RM;;
R703M;RHK-RM;;
RM  O;RHK-T184-RM;;
RM;S184-P02-RMW 10;;
