RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HO  N;;HDIP(2200-2)-111-HO S(2200-2);HDIP(2200-2)-111-HO S(2200-2)
HO  S;HO N(2200-2)-22-HO O(2200-2);;
HO  O;HO S(2200-2)-2-HHRN(2200-2);;
HHRN;HO O(2200-2)-02-HHSB(2200-2);;
H24HH;HHRN-HHSB;;
H23HH;HHRN-HHSB;;
H22HH;HHRN-HHSB;;
H21HH;HHRN-HHSB;;
HHSB;HHRN-1-HNAH;;
H02NH;HHSB-HNAH;;
H01NH;HHSB-HNAH;;
HNAH;HHSB-ELEN;;
HQNA;HNAH-ELEN;;
H926N;HNAH-ELEN;;
H925N;HNAH-ELEN;;
YEHLH;HO-ELEN;;
E924H;HO-ELEN;;
E923L;HO-ELEN;;
E 922;HO-ELEN;;
E 921;HO-ELEN;;
ELEN;HO-1-EMST;;
E904L;ELEN-EMST;;
E903L;ELEN-EMST;;
E902L;ELEN-EMST;;
E901L;ELEN-EMST;;
ERIG;ELEN-202-EMST;;
EKV;ELEN-302-EMST;;
E822B;ELEN-EMST;;
E 821;ELEN-EMST;;
EBRO;ELEN-402-EMST;;
E 802;ELEN-EMST;;
E 801;ELEN-EMST;;
E545L;ELEN-EMST;;
EWBV;ELEN-EMST;;
E532M;ELEN-EMST;;
EEMS;ELEN-952-EMST;;
E 937;ELEN-EMST;;
E938E;ELEN-EMST;;
E 935;ELEN-EMST;;
ESDM;ELEN(2200)-921-EMST(2200);;
E 906;ELEN-EMST;;
E 907;ELEN-EMST;;
E 904;ELEN-EMST;;
E 905;ELEN-EMST;;
EMSTP;ELEN(2200)-09-EHLT(2200);;
EMSTG;ELEN(2200)-122-EHLT(2200);;
EGST;EMST(2200)-190-EDUL(2200);;
EMEK;EMST(2200)-702-EDUL(2200);;
E 835;EMST-EDUL;;
E 834;EMST-EDUL;;
EABT;EMST-EDUL;;
E 833;EMST-EDUL;;
E 832;EMST-EDUL;;
E 831;EMST-EDUL;;
EBSL;EMST-2-EDUL;;
EAPH;EMST-11-EDUL;;
E964B;EMST-EDUL;;
E962B;EMST-EDUL;;
E961A;EMST-EDUL;;
E959A;EMST-EDUL;;
E960B;EMST-EDUL;;
E958B;EMST-EDUL;;
EBUD;EMST-EDUL;;
E957B;EMST-EDUL;;
E955B;EMST-EDUL;;
E956D;EMST-EDUL;;
E954D;EMST-EDUL;;
E953B;EMST-EDUL;;
E952D;EMST-EDUL;;
E951B;EMST-EDUL;;
EDUL;EMST-1-EHLT;;
E944Y;EDUL-EHLT;;
E943D;EDUL-EHLT;;
E942Y;EDUL-EHLT;;
E941D;EDUL-EHLT;;
ESYB;EDUL-2-EHLT;;
E936S;EDUL-EHLT;;
ESYH;EDUL-EHLT;;
E937S;EDUL-EHLT;;
E935S;EDUL-EHLT;;
E934H;EDUL-EHLT;;
E933S;EDUL-EHLT;;
E932H;EDUL-EHLT;;
E931S;EDUL-EHLT;;
EHLT;EDUL-2-ERE;;
E924L;EHLT-ERE;;
E923H;EHLT-ERE;;
ELPE;EHLT-ERE;;
E8128;EHLT-ERE;;
E8127;EHLT-ERE;;
EMSI;EHLT-2-ERE;;
E8418;EHLT-ERE;;
E8419;EHLT-ERE;;
ERE;EHLT-1-EWAN;;
E8416;ERE-EWAN;;
E8415;ERE-EWAN;;
E8414;ERE-EWAN;;
E8413;ERE-EWAN;;
ERES;EWAN-1-ERE;;
EBAU;ERES(2200)-ECRA(2207);;
ECRA;EBAU-EWFR;;
EWFR;ECRA-EGZO;;
EGZO;EWFR-002-EGBK;;
EGBK;EGZO-102-ENON;;
ENON;EGBK-EBTS;;
E9267;ENON-EBTS;;
E9266;ENON-EBTS;;
E9269;ENON-EBTS;;
EEKP;ENON-EBTS;;
E9268;ENON-EBTS;;
EBTS;EEKP-1-EGED;;
EGED;EBTS-EPRL;;
EKKR;EGED-EPRL;;
EPRL;EKKR-EEDZ;;
EEDZ;EBTS(2243)-EOB(2277);;
E665Y;EEDZ-EOB;;
E 664;EEDZ-EOB;;
E 663;EEDZ-EOB;;
E662X;EEDZ-EOB;;
EOB O;E 663-782-EOB;;
