RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKANO;;KKANS-14-KKANE;KKANS-14-KKANE
KKANE;KKAN-4-KKM;;
KKM;KKANE-523-YKKNR;;
KKMN;KKM-YKKNR;;
YKKNR;KKMN-KLS;;
K2239;KKMN-KLS;;
K2242;KKMN-KLS;;
K2237;KKMN-KLS;;
K2240;KKMN-KLS;;
K2235;KKMN-KLS;;
KLS;KKMN-401-KOPL;;
K2238;KLS-KOPL;;
K2433;KLS-KOPL;;
KOPL;KLS-2-KLEL;;
K2436;KOPL-KLEL;;
K2434;KOPL-KLEL;;
K2431;KOPL-KLEL;;
K2632;KOPL-KLEL;;
K2629;KOPL-KLEL;;
KLEL;KOPL-1-KSO;;
K2630;KLEL-K 14S*1;;
K2627;K 13L-K 15L*1;;
K2628;K 13L-K 15L*1;;
K2825;K 14S-K 16S*1;;
K2826;K 14S-K 16S*1;;
K2823;K 15L-KSO*1;;
KSO;KOPL-3-KGUI;;
K2824;KSO-K 518;;
K2812;KSO-K 518;;
K2821;KSO-K 518;;
K2822;K 17S-KHAN;;
KHAN;KSO-KGUI;;
K2820;KSO-KGUI G;;
K2819;KHAN-K 520;;
K2817;K 19H-KGUI;;
KGUI;KSO-507-KWV(2731);;
KLID;KK-KWV;;
E 599;KLID-E 326;;
E 326;KGU-KWV;;
KWV;KLID-003-KW;;
E 329;KWV-KW;;
E30WS;KWV-KW;;
E 331;KWV-KW;;
E 333;KWV-KW;;
E 32F;KWV-KW;;
KW;KWV-2-KWBA;;
E 135;KW-E 134;;
E 134;E 135-E 137;;
E 137;E 134-E 136;;
E 136;E 137-KWBA;;
KWBA;KW-KWO(2550);;
E 139;KWBA-E 138;;
E 138;KWBA-KWO;;
KWO;KW-3-EHG;;
E 261;KW-EHG;;
E 260;KW-EHG;;
KSWE;KW-403-EHG;;
E913H;KW-EHG;;
E912K;KW-EHG;;
EENP;KW-EHG;;
E915H;KW-EHG;;
E921H;KW-EHG;;
E920K;KW-EHG;;
E917H;KW-EHG;;
E914K;KW-EHG;;
E916K;KW-EHG;;
EHGP;KW-401-EHG;;
EREH;EHGP-EHGGW;;
EHGGW;;EREH-161-EHGGO;EREH-161-EHGGO
