RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KAW P;;KA-22-KRY G GR;KA-22-KRY G GR
KAW G;KAW P(2552-8)-124-KRY G;;
KRIC;KAW P-2-KRY G;;
KKOS;KAW P-101-KRY G;;
E 803;KAW P-KRY G;;
E 850;KAW P-KRY G;;
KHEZ;KAW P-1-KRY G;;
KNIS;KAW P-1-KRY G;;
K2202;KAW P-KRY G;;
K2201;KAW P-KRY G;;
K2203;KAW P-KRY G;;
K2204;KAW P-KRY G;;
KUBP;KAW P-KRY G;;
KGEK;KAW P-2-KRY G 16;;
K2405;KAW P-KRY G;;
K2406;KAW P-KRY G;;
K2407;KAW P-KRY G;;
K2408;KAW P-KRY G;;
KLD;KAW P-KRY G;;
KLDA;KAW P-KRY G;;
KBRC;KAW P-KRY G;;
K2415;KAW P-KRY G;;
K2416;KAW P-KRY G;;
KBA;KLD-KBAG;;
KBAG;KAW P-1-KRY G;;
K2717;KAW P-KRY G;;
K2718;KAW P-KRY G;;
K2719;KAW P-KRY G;;
K2720;KAW P-KRY G;;
KERZ;KAW P-KRY G;;
K2721;KAW P-KRY G;;
K2722;KAW P-KRY G;;
KHER;KAW P-KRY G;;
K2724;KAW P-KRY G;;
K2723;KAW P-KRY G;;
KHERN;KAW P-KRY G;;
K2726;KAW P-KRY G;;
K2725;KAW P-KRY G;;
K2827;KAW P-KRY G;;
K2828;KAW P-KRY G;;
KWIC;KAW P-KRY G;;
K2830;KAW P-KRY G;;
KRY G;KLDA-1-KM;;
KRY P;KRY G-2-KM 7;;
E493R;KRY P-KM;;
E 094;KRY P-KM;;
KM;KRY P-2-KV 6;;
K 303;KM-KV;;
K 302;KM-KV;;
KVH;KM-201-KV;;
KV  G;KVH-131-KKAK 12;;
KV;KM-005-KANR;;
K 102;KV-KANR;;
K112V;KV-KANR;;
K 103;KV-KANR;;
K 104;KV-KANR;;
KANR;KV-KKR;;
K105K;KANR-KKR;;
K106A;KANR-KKR;;
K108A;KANR-KKR;;
KFOS;KANR-KKR;;
K107K;KANR-KKR;;
K209K;KANR-KKR;;
K210A;KANR-KKR;;
KKR;KV-2-KKRL;;
K402O;KKR-KKRO;;
K401O;KKR-KKRO;;
KKRO;KKR-2-KKRL;;
KKRL;KKRO-2-KKRX;;
KKRX;KKRL-KMUH;;
KKRU;KKRX-2-KMUH;;
KHB;KKRL-KMUH;;
KMUH;KHB-KRH;;
KRH;KMUH-12-EDHP H2 13;;
KRHO;KRH-EDHP;;
K001D;KRH-EDHP;;
K011D;KRH-EDHP;;
K002R;KRH-EDHP;;
K022R;KRH-EDHP;;
K006R;KRH-EDHP;;
EDHP;KRH-EDHZ;;
EDHZ;KRH-EDHDO;;
EDHDO;EDHZ-4-ELOT;;
ELOT;EDHDO-ESI;;
E 34F;ELOT-ESI;;
ESI;ELOT-ERTL;;
ERTL;ESI-EOBRS;;
EOBRS;RTL-OBRW(2320);;
EOBRW;OBRS-OBRM(52);;
EOBRM;;OBRW52-OBRO68;OBRW52-OBRO68
