RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKOLM;;KKOL-1-KKOLN-2630;KKOL-1-KKOLN-2630
KKOLN;KKOLM-1-KKES-2630/3011;;
KKOU;KKOLN-KKES;;
KKES;KKOU-KRHB;;
K973B;KKES-KRHB;;
K974B;KKES-KRHB;;
KURR;KKES-2-KRHB;;
KRHB;KKES-KNE_G;;
K977A;KRHB-KNE_G;;
K970B;KRHB-KNE_G;;
KNE G;KRHB-82-KNE;;
KNE;KNE_G-002F/H1-KLET;;
K434A;KNE-KLET;;
K433A;KNE-KLET;;
K432A;KNE-KLET;;
K431A;KNE-KLET;;
K430A;KNE-KLET;;
K429B;KNE-KLET;;
KLET;KNE-3-KRBR;;
K032F;KLET-KRBR;;
K031F;KLET-KRBR;;
K030G;KLET-KRBR;;
K029E;KLET-KRBR;;
K028F;KLET-KRBR;;
K027F;KLET-KRBR;;
K026E;KLET-KRBR;;
K025D;KLET-KRBR;;
KRBR;KLET-1-KHGB;;
KHGB;KRBR-2-KLI;;
K024D;KHGB-KLI;;
K023E;KHGB-KLI;;
K022F;KHGB-KLI;;
K021D;KHGB-KLI;;
K120A;KHGB-KLI;;
KLEU;KHGB-KLI;;
K119A;KHGB-KLI;;
K118C;KHGB-KLI;;
K117C;KHGB-KLI;;
KLI;KHGB-2-KUN;;
K020B;KLI-KUN;;
K019B;KLI-KUN;;
KERP;KLI-KUN;;
K018A;KLI-KUN;;
K017A;KLI-KUN;;
K016D;KLI-KUN;;
K015E;KLI-KUN;;
KUN;KLI-2-KHBD;;
K014A;KUN-KHBD;;
K013A;KUN-KHBD;;
YDFHU;KNE-KT;;
KQHB;YDFHU-KHBD;;
KHBD;KNE-1-KT;;
KRHD;KQHB-1-KT;;
KKOW;KHBD-2-KT;;
KND;KKOW-1-KT;;
KBO;KKWO-201-KT;;
K138B;KKOW-KT;;
K 139;KKOW-KT;;
KBB;KKOW-2-KT;;
K136B;KKOW-KT;;
K 137;KKOW-KT;;
K 135;KKOW-KT;;
K 134;KKOW-KT;;
K 133;KKOW-KT;;
KMD;KKOW-301-KT;;
KFWH;KKOW-42-KT;;
KT;KQHB-7-KPR;;
KT  V;KFWH-26-KPR;;
K8132;KT-KPR;;
K8131;KT-KPR;;
K0958;KT-KPR;;
K0963;KT-KPR;;
K0954;KT-KPR;;
K0959;KT-KPR;;
K0950;KT-KPR;;
K0955;KT-KPR;;
KPR;KT-5-KGS;;
KGS;KT-KG H;;
KG  H;KGS-304-KG C;;
KG  C;;KG H-304KG C;KG H-304KG C
