RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKE A;;KKE B-57-KKE K(Gleis168);KKE B-57-KKE K(Gleis168)
KKE K;KKE A-168-KKAS;;
KKAS;KKE K-3-KNEW;;
KKASS;KKAS-KNEW;;
K 21K;KKAS-KNEW;;
K 20B;KKAS-KNEW;;
KBR G;KKAS-1-KNEW;;
KBR P;KKAS-1-KNEW;;
K131B;KKAS-KNEW;;
K 31B;KKAS-KNEW;;
K130S;KKAS-KNEW;;
K 30S;KKAS-KNEW;;
KSEC;KKAS-1-KNEW;;
K 141;KKAS-KNEW;;
K  41;KKAS-KNEW;;
K 140;KKAS-KNEW;;
K 40R;KKAS-KNEW;;
K 143;KKAS-KNEW;;
K  43;KKAS-KNEW;;
K 142;KKAS-KNEW;;
K 42R;KKAS-KNEW;;
KROI;KKAS-1-KNEW;;
K  51;KKAS-KNEW;;
K  50;KKAS-KNEW;;
KB  G;KKAS-202-KNEW;;
KB;KKAS-403-KNEW 10;;
K903B;KB G-KNEW;;
K 924;KKAS-KNEW;;
K904B;KB G-KNEW;;
K 972;KB G-KNEW;;
K952B;KB G-KNEW;;
K 905;KB G-KNEW;;
K951B;KKAS-KNEW;;
KBBN;KB G-11-KNEW;;
KBBG;KB G-21-KNEW;;
KBM;KB G-31-KNEW;;
KNEW;KB G-41-KRE;;
KQNE;KB G-KRE;;
YDFNR;KB G-KRE;;
K362A;KNEW-KOWI;;
K363A;KNEW-KOWI;;
KROL;KNEW-KOWI;;
K364A;KNEW-KOWI;;
K365A;KNEW-KOWI;;
KOWI;KNEW-301-KRE;;
K367A;KOWI-KRE;;
K366A;KOWI-KRE;;
KRE;KOWI-003-KSIZ;;
K973A;KRE-KSIZ;;
K974A;KRE-KSIZ;;
KSIZ;KRE-401-KBRO;;
K479A;KSIZ-KBRO;;
K480A;KSIZ-KBRO;;
K023A;KSIZ-KBRO;;
K024A;KSIZ-KBRO;;
KBRE;KSIZ-KBRO;;
K027I;KSIZ-KBRO;;
K028I;KSIZ-KBRO;;
K031G;KSIZ-KBRO;;
K032G;KSIZ-KBRO;;
KBRO;KSIZ-1-11-KAND;;
K033A;KBRO-KAND;;
K034A;KBRO-KAND;;
KNAM;KBRO-1-KAND;;
K350A;KBRO-KAND;;
K035A;KBRO-KAND;;
KNAMN;KBRO-KAND;;
K360A;KBRO-KAND;;
K036A;KBRO-KAND;;
K037A;KBRO-KAND;;
K038E;KBRO-KAND;;
K039E;KBRO-KAND;;
K040D;KBRO-KAND;;
KAND;KBRO-1-KWEH;;
K041A;KAND-KWEH;;
K042A;KAND-KWEH;;
KWEH;KAND-2-KUR;;
K401A;KWEH-KUR;;
K402A;KWEH-KUR;;
KUR;KWEH-501-KKOLN;;
K043A;KUR-KKOLN;;
K044A;KUR-KKOLN;;
K045A;KUR-KKOLN;;
K046A;KUR-KKOLN;;
KKOLN;KUR-2-KKOLM-2630;;
KKOLM;;KKOLN-2-KKOL-2630;KKOLN-2-KKOL-2630
