RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKOLM;;KKOL-1-KKOLN-2630;KKOL-1-KKOLN-2630
KKOLN;KKOLM-1-KUR-2630;;
K046A;KKOLN-KUR;;
K045A;KKOLN-KUR;;
K044A;KKOLN-KUR;;
K043A;KKOLN-KUR;;
KUR;KKOLN-502-KWEH;;
K402A;KUR-KWEH;;
K401A;KUR-KWEH;;
KWEH;KUR-1-KAND;;
K042A;KWEH-KAND;;
K041A;KWEH-KAND;;
KAND;KWEH-2-KBRO;;
K040D;KAND-KBRO;;
K039E;KAND-KBRO;;
K038E;KAND-KBRO;;
K037A;KAND-KBRO;;
K036A;KAND-KBRO;;
K360A;KAND-KBRO;;
KNAMN;KAND-KBRO;;
K035A;KAND-KBRO;;
K350A;KAND-KBRO;;
KNAM;KAND-2-KBRO;;
K034A;KAND-KBRO;;
K033A;KAND-KBRO;;
KBRO;KAND-2-KSIZ;;
K032G;KBRO-KSIZ;;
K031G;KBRO-KSIZ;;
K028I;KBRO-KSIZ;;
K027I;KBRO-KSIZ;;
KBRE;KBRO-KSIZ;;
K024A;KBRO-KSIZ;;
K023A;KBRO-KSIZ;;
K480A;KBRO-KSIZ;;
K479A;KBRO-KSIZ;;
KSIZ;KBRO-402-KRE;;
K974A;KSIZ-KRE;;
K973A;KSIZ-KRE;;
KRE;KSIZ-001-KOWI;;
K366A;KRE-KOWI;;
K367A;KRE-KOWI;;
KOWI;KRE-302-KNEW;;
K365A;KOWI-KNEW;;
K364A;KOWI-KNEW;;
KROL;KOWI-KNEW;;
K363A;KOWI-KNEW;;
K362A;KOWI-KNEW;;
YDFNR;KRE-KB G;;
KQNE;KRE-KB G;;
KNEW;KRE-42-KB G;;
KBM;KNEW-32-KB G;;
KBBG;KNEW-22-KB G;;
KBBN;KNEW-12-KB G;;
K951B;KNEW-KKAS;;
K 905;KNEW-KB G;;
K952B;KNEW-KB G;;
K 972;KNEW-KB G;;
K904B;KNEW-KB G;;
K 924;KNEW-KKAS;;
K903B;KNEW-KB G;;
KB;KNEW-401-KKAS 10;;
KB  G;KNEW-201-KKAS;;
K  50;KNEW-KKAS;;
K  51;KNEW-KKAS;;
KROI;KNEW-2-KKAS;;
K 42R;KNEW-KKAS;;
K 142;KNEW-KKAS;;
K  43;KNEW-KKAS;;
K 143;KNEW-KKAS;;
K 40R;KNEW-KKAS;;
K 140;KNEW-KKAS;;
K  41;KNEW-KKAS;;
K 141;KNEW-KKAS;;
KSEC;KNEW-2-KKAS;;
K 30S;KNEW-KKAS;;
K130S;KNEW-KKAS;;
K 31B;KNEW-KKAS;;
K131B;KNEW-KKAS;;
KBR P;KNEW-2-KKAS;;
KBR G;KNEW-2-KKAS;;
K 20B;KNEW-KKAS;;
K 21K;KNEW-KKAS;;
KKASS;KNEW-KKAS;;
KKAS;KNEW-4-KKE K;;
KKE K;KKAS-200-KKE A;;
KKE A;;KKE K-59-KKE B;KKE K-59-KKE B
