RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFO G;;FFO-104-FFO_U;FFO-104-FFO_U
FFO U;FFO_G-304-FFO_V;;
FFO V;FFO_U-404-FFMK;;
FFMK;FFO_V-702-FHD-Hp1;;
F732B;FFMK-FHD;;
FBMR;FFMK-2-FHD;;
F735A;FFMK-FHD;;
FHD;FFMK-801-811S/H2-FHW;;
F492B;FHD-FHW;;
FHWB;FHD-2-FHW;;
F482B;FHD-FHW;;
F483B;FHD-FHW;;
F472B;FHD-FHW;;
F473B;FHD-FHW;;
F463A;FHD-FHW;;
F462B;FHD-FHW;;
FHW;FHD-2-FH_N-3671;;
FH  N;FHW-404-7-FWFG;;
FWFG;FH_N-602-FSLB-3600;;
F241A;FWFG-FSLB;;
F242A;FWFG-FSLB;;
F243A;FWFG-FSLB;;
F244A;FWFG-FSLB;;
FROD;FWFG-3-FSLB;;
F245A;FWFG-FSLB;;
F246A;FWFG-FSLB;;
F287A;FWFG-FSLB;;
F247A;FWFG-FSLB;;
F248A;FWFG-FSLB;;
FSLB;FWFG-204-FHME;;
F251A;FSLB-FHME;;
F252A;FSLB-FHME;;
F253A;FSLB-FHME;;
F254B;FSLB-FHME;;
FNMI;FSLB-FHME;;
F541A;FSLB-FHME;;
F542A;FSLB-FHME;;
F543A;FSLB-FHME;;
F544A;FSLB-FHME;;
FHME;FSLB-302-FGEL;;
FGEL;FHME-503-FWIR;;
F596A;FGEL-FWIR;;
F592B;FGEL-FWIR;;
F593B;FGEL-FWIR;;
FHAI;FGEL-FWIR;;
F594A;FGEL-FWIR;;
F595A;FGEL-FWIR;;
F597A;FGEL-FWIR;;
FWIR;FGEL-603-FWAE;;
F772A;FWIR-FWAE;;
F773A;FWIR-FWAE;;
F774A;FWIR-FWAE;;
F775A;FWIR-FWAE;;
FWAE;FWIR-702-FBSS;;
F782A;FWAE-FBSS;;
F783A;FWAE-FBSS;;
F784A;FWAE-FBSS;;
F785A;FWAE-FBSS;;
F786A;FWAE-FBSS;;
F787A;FWAE-FBSS;;
FBSS;FWAE-802-FSA;;
F172A;FBSS-FSA;;
F173A;FBSS-FSA;;
F174A;FBSS-FSA;;
F176A;FBSS-FSA;;
F175A;FBSS-FSA;;
FSA;FBSS-102-FSUE;;
F222B;FSA-FSUE;;
F223B;FSA-FSUE;;
F224A;FSA-FSUE;;
F225A;FSA-FSUE;;
FSUE;FSA-202-FSUEZ;;
FSUEZ;FSUE-FFD;;
F103F;FSUEZ-FFD;;
F202E;FSUEZ-FKA;;
F105D;FSUEZ-FFD;;
F086A;FSUEZ-FFD;;
F087A;FSUEZ-FFD;;
FFD;FSUEZ-8-FNFS;;
F693B;FFD-FNFS;;
F692A;FFD-FNFS;;
FNFS;FFD-FNF;;
FNF;FNFS-601-FNF_N;;
FNF N;FNF-641-FFU;;
F683A;FNF_N-FFU_B;;
F682B;FNF_N-FFU_B;;
F685A;FNF_N-FFU_B;;
F684A;FNF_N-FFU_B;;
F687B;FNF_N-FFU_B;;
F426A;FNF_N-FFU_S;;
F425A;FNF_N-FFU_S;;
FFU B;FNF_N-FFU-3600/1733;;
FFU;;FFU_B-5-FFU_N-1733;FFU_B-5-FFU_N-1733
