RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFU;FFU_N-3-FFU_W-3600;;
FFU W;FFU-3-FFU_B;;
FFU B;FFU_W-FNF_N-3600;;
F425A;FFU_S-FNF_N;;
F426A;FFU_S-FNF_N;;
F687B;FFU_B-FNF_N;;
F684A;FFU_B-FNF_N;;
F685A;FFU_B-FNF_N;;
F682B;FFU_B-FNF_N;;
F683A;FFU_B-FNF_N;;
FNF N;FFU-642-FNF;;
FNF;FNF_N-602-FNFS;;
FNFS;FNF-FFD;;
F692A;FNFS-FFD;;
F693B;FNFS-FFD;;
FFD;FNFS-2-FSUEZ;;
F087A;FFD-FSUEZ;;
F086A;FFD-FSUEZ;;
F105D;FFD-FSUEZ;;
F202E;FKA-FSUEZ;;
F103F;FFD-FSUEZ;;
FSUEZ;FFD-FSUE;;
FSUE;FSUEZ-204-FSA;;
F225A;FSUE-FSA;;
F224A;FSUE-FSA;;
F223B;FSUE-FSA;;
F222B;FSUE-FSA;;
FSA;FSUE-103-FBSS;;
F175A;FSA-FBSS;;
F176A;FSA-FBSS;;
F174A;FSA-FBSS;;
F173A;FSA-FBSS;;
F172A;FSA-FBSS;;
FBSS;FSA-801-FWAE;;
F787A;FBSS-FWAE;;
F786A;FBSS-FWAE;;
F785A;FBSS-FWAE;;
F784A;FBSS-FWAE;;
F783A;FBSS-FWAE;;
F782A;FBSS-FWAE;;
FWAE;FBSS-701-FWIR;;
F775A;FWAE-FWIR;;
F774A;FWAE-FWIR;;
F773A;FWAE-FWIR;;
F772A;FWAE-FWIR;;
FWIR;FWAE-602-FGEL;;
F597A;FWIR-FGEL;;
F595A;FWIR-FGEL;;
F594A;FWIR-FGEL;;
FHAI;FWIR-FGEL;;
F593B;FWIR-FGEL;;
F592B;FWIR-FGEL;;
F596A;FWIR-FGEL;;
FGEL;FWIR-502-FHME;;
FHME;FGEL-303-FSLB-3677;;
F578A;FHME-FSLB;;
F577A;FHME-FSLB;;
F574A;FHME-FSLB;;
F573A;FHME-FSLB;;
FNMI;FHME-FSLB-3677;;
F296B;FHME-FSLB;;
F295D;FHME-FSLB;;
F292A;FHME-FSLB;;
F291A;FHME-FSLB;;
FSLB;FHME-3677-202-FWFG-3677;;
F286A;FSLB-FWFG;;
F285A;FSLB-FWFG;;
F282A;FSLB-FWFG;;
F281A;FSLB-2-FWFG;;
FROD;FSLB-2-FWFG;;
F278A;FSLB-FWFG;;
F277A;FSLB-FWFG;;
F274A;FSLB-FWFG;;
F273A;FSLB-FWFG;;
FWFG;FSLB-603-FH_N-3677/3600;;
FH  N;FWFG-6-FHW;;
FHW;FH_N-1-FHD;;
F462B;FHW-FHD;;
F463A;FHW-FHD;;
F473B;FHW-FHD;;
F472B;FHW-FHD;;
F483B;FHW-FHD;;
F482B;FHW-FHD;;
FHWB;FHW-1-FHD;;
F492B;FHW-FHD;;
FHD;FHW-802-FFMK;;
F735A;FHD-FFMK;;
FBMR;FHD-1-FFMK;;
F732B;FHD-FFMK;;
FFMK;FFO_V-703-FFO-Hp1;;
FFO V;FFMK-403-303-FFO_U;;
FFO U;FFO_V-303-FFO_G;;
FFO G;;FFO_U-103-FFO;FFO_U-103-FFO
