RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FFU;;FFU_B-5-FFU_N-1733;FFU_B-5-FFU_N-1733
FFU N;FFU-FGHF-1733/3600;;
F088C;FFU_N-FGHF;;
FGHF;FFU_N-703-FMR;;
F711B;FGHF-FMR;;
F816B;FGHF-FMR;;
F823A;FGHF-FMR;;
F713B;FGHF-FMR;;
F818B;FGHF-FMR;;
F718B;FGHF-FMR;;
FMR;FGHF-803-FHUE;;
F813B;FMR-FHUE;;
F822B;FMR-FHUE;;
F915A;FMR-FHUE;;
F815B;FMR-FHUE;;
F924A;FMR-FHUE;;
F824A;FMR-FHUE;;
F926A;FMR-FHUE;;
FHUE;FMR-903-FBUH;;
F927A;FHUE-FBUH;;
F917A;FHUE-FBUH;;
F928A;FHUE-FBUH;;
F918A;FHUE-FBUH;;
FBUH;FHUE-951-FNK;;
F919A;FBUH-FNK;;
F030B;FBUH-FNK;;
F921A;FBUH-FNK;;
F032B;FBUH-FNK;;
F923A;FBUH-FNK;;
F034B;FBUH-FNK;;
FNK;FHUE-1-FOBN;;
F025B;FNK-FOBN;;
F036B;FNK-FOBN;;
F027B;FNK-FOBN;;
F038A;FNK-FOBN;;
F029B;FNK-FOBN;;
F040B;FNK-FOBN;;
FOBN;FNK-3-FBHF;;
F031B;FOBN-FBHF;;
F042C;FOBN-FBHF;;
FBHF;FOBN-3-FME;;
F533B;FBHF-FME;;
F543B;FBHF-FME;;
F544B;FBHF-FME;;
FFL;FBHF-533-FME;;
F534A;FBHF-FME;;
F535A;FBHF-FME;;
F546B;FBHF-FME;;
F537A;FBHF-FME;;
FME;FBHF-502-FBLA;;
FBLA;FME-115-FLAE;;
FLAE;FBLA-351-FB;;
FB;;FLAE-8-FB__A-3600;FLAE-8-FB__A-3600
