RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FKR;FKRB-351-FKW;;
FKR S;FKR-2-FKW;;
FKW;FKR_S-507-607-FKOA-3913/3900;;
FKOA;FKW-2-FGTH;;
FKOZ;FKOA-2-FGTH;;
F690A;FKOA-FGTH;;
F699A;FKOA-FGTH;;
F680A;FKOA-FGTH;;
F678B;FKOA-FGTH;;
F679A;FKOA-FGTH;;
F676A;FKOA-FGTH;;
FREH;FKOA-2-FGTH;;
F681A;FKOA-2-FGTH;;
F675A;FKOA-FGTH;;
F672A;FKOA-FGTH;;
F673A;FKOA-FGTH;;
FGTH;FKOA-4-FGRF-D;;
FGRF;FGTH-3-FGEF;;
FWON;FKOA-2-FWAB;;
F311A;FKOA-FWAB;;
F314A;FKOA-FWAB;;
F313A;FKOA-FWAB;;
FABL;FKOA-FWAB;;
F316B;FKOA-FWAB;;
FGEF;FKOA-301-FWAB;;
F117B;FKOA-FWAB;;
F118B;FKOA-FWAB;;
FWAB;FKOA-4-FUT;;
FUT;FWAB-2-FBOK;;
F171C;FUT-FBOK;;
F121A;FUT-FBOK;;
FSL;FWAB-FBOK;;
F122B;FUT-FBOK;;
F172C;FUT-FBOK;;
FBOK;FWAB-402-FZM;;
F523B;FBOK-FZM;;
F524B;FBOK-FZM;;
FZM;FBOK-501-FTS;;
F525B;FZM-FTS;;
FSBA;FWAB-1-FTS;;
F026C;FSBA-FTS;;
F027C;FSBA-FTS;;
F028D;FSBA-FTS;;
FTS;FZM-1-FNSM-Gz;;
F029C;FTS-FNSM;;
FWRA;FTS-FNSM;;
F030F;FTS-FNSM;;
F031D;FTS-FNSM;;
FNSM;FTS-2-FSTA;;
F033D;FNSM-FSTA;;
F034E;FNSM-FSTA;;
F035D;FNSM-FSTA;;
F036E;FNSM-FSTA;;
FSTA;FNSM-1-FKIH;;
F838A;FSTA-FKIH;;
F737A;FSTA-FKIH;;
FKIH;FSTA-801-FCOE;;
F839A;FKIH-FCOE;;
F340A;FKIH-FCOE;;
FAZ;FKIH-FCOE;;
F841A;FKIH-FCOE;;
F342A;FKIH-FCOE;;
F843A;FKIH-FCOE;;
FBRG;FKIH-FCOE;;
FCOE;FKIH-333-FMBG;;
F345A;FCOE-FMBG;;
F346B;FCOE-FMBG;;
FMBG;FCOE-4-FNL;;
F047A;FMBG-FMBS;;
F048A;FMBG-FMBS;;
FMBS;FMBG-FNDW;;
F051A;FMBS-FNL;;
F052B;FMBS-FNL;;
F053B;FMBS-FNL;;
FNDW;FMBS-FNL;;
FNL;FMBS-577-FFRL;;
FFRL;FNL-1-FLOL;;
F061D;FFRL-FLOL;;
F062D;FFRL-FLOL;;
FFN;FFRL-FLOL;;
FLOL;FFRL-1-FG_A;;
F063C;FLOL-FG__A;;
F064C;FLOL-FG__A;;
F065D;FLOL-FG__A;;
F066D;FLOL-FG__A;;
FGOG;FLOL-2-FG__A;;
FG  A;FLOL-1-3-FG;;
FG;FG__A-3-FGB;;
FGB;FG-202-FGL;;
