RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
ALSK;;ALSK-ALKN;ALSK-ALKN
ALTG;ALSK-AWR;;
ALKN;ALSK-AWR;;
ALD A;ALKN-AWR;;
AWR;ALKN-AL;;
A06WL;AWR-AL;;
A02WL;AWR-AL;;
A05LW;AWR-AL;;
A01LW;AWR-AL;;
AL;AWR-2108-ALRA(1120);;
ALRA;AL(1120)-AO;;
AR111;AL-AH;;
AA112;AL-AH;;
A21NR;AL-AH;;
A022R;AL-AH;;
ARD;AL-1-AH;;
A31RO;AL-AH;;
A32OR;AL-AH;;
AO;AL-6/60-AH;;
A41OK;AL-AH;;
A042K;AL-AH;;
A43OK;AL-AH;;
A44BO;AL-AH;;
AKUP;AL-AH;;
A45KB;AL-AH;;
A046B;AL-AH;;
ABAE;AL-1-AH;;
A51BA;AL-AH;;
A052A;AL-AH;;
AAHG;AL-AH;;
A53BA;AL-AH;;
AAHN;AL-AH;;
AAHR;AL-1-AH;;
A059A;AL-AH;;
A60RA;AL-AH;;
A061A;AL-AH;;
A062R;AL-AH;;
AQAH;AL-AH;;
A063A;AL-AH;;
A064R;AL-AH;;
A065A;AL-AH;;
A66RA;AL-AH;;
ARALB;AL-12-AH;;
ARAL;AL-2-AH;;
A71RW;AL-AH;;
A73RW;AL-AH;;
A72WR;AL-AH;;
AOW;AL-AH;;
A75WW;AL-AH;;
A74WR;AL-AH;;
A76WW;AL-AH;;
AWN F;ARAL-1-AHOR;;
AHOR;AWN-AHROO;;
A293H;AHOR-AHROO;;
A294H;AHOR-AHROO;;
AHROO;AHOR-112-AVL;;
A517B;AHROO-AOHA;;
AOHA;AHROO-AVL;;
AVL;AOHA(1280)-AHAR(1280) Gz;;
A510A;AVL-AWLBA(1280-2) Gz;;
A511B;AVL-AWLBA(1280-2);;
AWLBA;AVL(1280)-AHAR(1280);;
A506A;AWLBA-AHAR(1280-2);;
AWLBS;AWLBA-AHAR;;
A504A;AWLBA-AHAR(1280-2);;
A505B;AWLBA-AHAR(1280-2);;
A502A;AWLBA-AHAR(1280-2);;
A503B;AWLBA-AHAR(1280-2);;
AHAR;AVL(1280)-030-AMD(1280);;
A194A;AHAR-AMD(1280-2);;
A195B;AHAR-AMD(1280-2);;
A193H;AHAR-AMD(1280-2);;
A192A;AHAR-AMD(1280-2);;
AQM G;AHAR-AM;;
A191B;AHAR-AMD(1280-2);;
AMD;AHAR(1280)-AM  O(1280-2);;
AM  O;AMD(1280-2)-AM  N(1280-2);;
AM  N;;AM  O(1280-2)-1108-AM  W(1280-2);AM  O(1280-2)-1108-AM  W(1280-2)
