RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HU  G;;HU(6899-2)-202-HWRN;HU(6899-2)-202-HWRN
H918U;HU  G-H917U;;
H917S;H918U-HSTF;;
HSTF;HU G-HWRN;;
HWRN;HSTF-3-HSDK;;
H915S;HWRN-H916W;;
H916W;H915S-HSDK;;
HSDK;H916W-H914S;;
H914S;HSDK-YLHSN;;
YLHSN;HU-LSW;;
H913S;HU-LSW;;
HSCG;HU-3-LSW;;
LQSW;HU-LSW;;
L912S;HU-LSW;;
L911S;HU-LSW;;
L910S;HU-LSW;;
L909S;HU-LSW;;
LSW;HU-13-LSWG;;
LSW G;LSW-133-LS;;
L908S;LSW-LS;;
LPRZ;LSW-LS;;
L907S;LSW-LS;;
LRAD;LSW-521-LS  G;;
LFL;LSW-LS;;
L906S;LSW-LS;;
L905S;LSW-LS;;
LBRP;LSW-43-LS;;
L904S;LSW-LS;;
LMF;LSW-LS;;
L903S;LSW-LS;;
LHWU;LSW-33-LS;;
LKD;LSW-22-LS;;
LKD H;LSW-LS;;
LSFD;LSW-LS;;
L902S;LSW-LS;;
L901S;LSW-LS;;
LS  G;;LSW-705/605-LS;LSW-705/605-LS
