RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
AM  W;AM  N(1280-2)-1210/1760-AM  S(1284-2);;
AM  S;AM  W(1284)-ASTE(1284);;
ASTE;AM W-1-ALBG(1720);;
AASN;ASTE(1720)-101-ALBG;;
A142A;ASTE-ALBG;;
A141A;ASTE-ALBG;;
AWI;ASTE-2-ALBG;;
A134W;ASTE-ALBG;;
A133W;ASTE-ALBG;;
A132W;ASTE-ALBG;;
A131W;ASTE-ALBG;;
ARH;ASTE-1-ALBG;;
A226B;ASTE-ALBG;;
A225R;ASTE-ALBG;;
AR125;ASTE-ALBG;;
A224B;ASTE-ALBG;;
AR123;ASTE-ALBG;;
A222B;ASTE-ALBG;;
AR121;ASTE-ALBG;;
ABAD;ASTE-2-ALBG;;
A214L;ASTE-ALBG;;
A115B;ASTE-ALBG;;
A212L;ASTE-ALBG;;
A213B;ASTE-ALBG;;
AB113;ASTE-ALBG;;
AB111;ASTE-ALBG;;
ALBGN;ASTE(1720)-271-ALBG;;
ALBG;ASTE-201-ALBGG(1720-2);;
ALBGG;ALBG-201/101-HU;;
A100L;ALBG-HU;;
A101L;ALBG-HU;;
ADEV;ALBG-1-HU;;
A094D;ALBG-HU;;
A93DE;ALBG-HU;;
A092D;ALBG-HU;;
A91DE;ALBG-HU;;
ABIL;ALBG-2-HU;;
A086B;ALBG-HU;;
A85BB;ALBG-HU;;
A084B;ALBG-HU;;
A83BB;ALBG-HU;;
A082B;ALBG-HU;;
A81BB;ALBG-HU;;
ABVS;ALBG-2-HU;;
A072B;ALBG-HU;;
A71BB;ALBG-HU;;
H170U;ALBG-HU;;
H70UB;ALBG-HU;;
H67UB;ALBG-HU;;
H65UB;ALBG-HU;;
H64EU;ALBG-HU;;
H163B;ALBG-HU;;
H63UE;ALBG-HU;;
H62EU;ALBG-HU;;
H61UE;ALBG-HU;;
HU;ALBG-101-HU G(1720-2);;
HU  G;HU(1720-2)-1-HC;;
H52UK;HU-HC;;
H51KU;HU-HC;;
HKSU;HU  G-1-HSUD;;
H42KS;HU-HC;;
H41SK;HU-HC;;
HSUD;HKSU-2-HUNL;;
H38SU;HU-HC;;
H137U;HU-HC;;
H36SU;HU-HC;;
H135U;HU-HC;;
H234S;HU-HC;;
H34SU;HU-HC;;
H233S;HU-HC;;
H133U;HU-HC;;
H32SU;HU-HC;;
H131U;HU-HC;;
HUNL;HSUD-7-HESD;;
H28UE;HU-HC;;
H27EU;HU-HC;;
H26UE;HU-HC;;
H25EU;HU-HC;;
H124U;HU-HC;;
H24UE;HU-HC;;
H123U;HU-HC;;
H23EU;HU-HC;;
H22UE;HU-HC;;
H21EU;HU-HC;;
HESD;HUNL-2-HGAR;;
H16EG;HU-HC;;
H15GE;HU-HC;;
H114E;HU-HC;;
H14EG;HU-HC;;
H13GE;HU-HC;;
H12EG;HU-HC;;
H11GE;HU-HC;;
HGAR;HESD-201-HC;;
H06GC;HU-HC;;
H05CG;HU-HC;;
H04GC;HU-HC;;
H202G;HU-HC;;
H02GC;HU-HC;;
H03CG;HU-HC;;
H01CG;HU-HC;;
HC;HU-6-HC  G(1720-2);;
HC  G;HC(1720-2)-27-HLER;;
H768C;HC-HLER;;
H767E;HC-HLER;;
H766C;HC-HLER;;
HELH;HC-922/902-HLER;;
H668E;HC-HLER;;
H665O;HC-HLER;;
HOTZ;HC G-HBGD;;
H666O;HC-HLER;;
HBGD;HC-642-HLER;;
H562B;HC-HLER;;
H563A;HC-HLER;;
HALI;HC-HLER;;
HLERN;HC-221-HLER;;
