RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HLERN;HLER-223-HC;;
HALI;HLER-HC;;
H563A;HLER-HC;;
H562B;HLER-HC;;
HBGD;HLER-641-HC;;
H666O;HLER-HC;;
HOTZ;HBGD-HELH;;
H665O;HLER-HC;;
H668E;HLER-HC;;
HELH;HLER-901/921-HC;;
H766C;HLER-HC;;
H767E;HLER-HC;;
H768C;HLER-HC;;
HC  G;HLER-24-HC;;
HC;HC  G(1720-1)-5-HU;;
H01CG;HC-HU;;
H03CG;HC-HU;;
H02GC;HC-HU;;
H202G;HC-HU;;
H04GC;HC-HU;;
H05CG;HC-HU;;
H06GC;HC-HU;;
HGAR;HC-202-HESD;;
H11GE;HC-HU;;
H12EG;HC-HU;;
H13GE;HC-HU;;
H14EG;HC-HU;;
H114E;HC-HU;;
H15GE;HC-HU;;
H16EG;HC-HU;;
HESD;HGAR-1-HUNL;;
H21EU;HC-HU;;
H22UE;HC-HU;;
H23EU;HC-HU;;
H123U;HC-HU;;
H24UE;HC-HU;;
H124U;HC-HU;;
H25EU;HC-HU;;
H26UE;HC-HU;;
H27EU;HC-HU;;
H28UE;HC-HU;;
HUNL;HESD-8-HSUD;;
H131U;HC-HU;;
H32SU;HC-HU;;
H133U;HC-HU;;
H233S;HC-HU;;
H34SU;HC-HU;;
H234S;HC-HU;;
H135U;HC-HU;;
H36SU;HC-HU;;
H137U;HC-HU;;
H38SU;HC-HU;;
HSUD;HUNL-1-HKSU H1;;
H41SK;HC-HU;;
H42KS;HC-HU;;
HKSU;HSUD-2-HU  G;;
H51KU;HC-HU;;
H52UK;HC-HU;;
HU  G;HC-2-HU(1720-1);;
HU;HU G(1720-1)-102-ALBG;;
H61UE;HU-ALBG;;
H62EU;HU-ALBG;;
H63UE;HU-ALBG;;
H163B;HU-ALBG;;
H64EU;HU-ALBG;;
H65UB;HU-ALBG;;
H67UB;HU-ALBG;;
H70UB;HU-ALBG;;
H170U;HU-ALBG;;
A71BB;HU-ALBG;;
A072B;HU-ALBG;;
ABVS;HU-1-ALBG;;
A81BB;HU-ALBG;;
A082B;HU-ALBG;;
A83BB;HU-ALBG;;
A084B;HU-ALBG;;
A85BB;HU-ALBG;;
A086B;HU-ALBG;;
ABIL;HU-1-ALBG;;
A91DE;HU-ALBG;;
A092D;HU-ALBG;;
A93DE;HU-ALBG;;
A094D;HU-ALBG;;
ADEV;HU-2-ALBG;;
A101L;HU-ALBG;;
A100L;HU-ALBG;;
ALBGG;HU-102-ALBG;;
ALBG;ALBGG-102/202-ASTE (1720);;
ALBGN;ALBG-272-ASTE (1720);;
AB111;ALBG-ASTE;;
AB113;ALBG-ASTE;;
A213B;ALBG-ASTE;;
A212L;ALBG-ASTE;;
A115B;ALBG-ASTE;;
A214L;ALBG-ASTE;;
ABAD;ALBG-1-ASTE;;
AR121;ALBG-ASTE;;
A222B;ALBG-ASTE;;
AR123;ALBG-ASTE;;
A224B;ALBG-ASTE;;
AR125;ALBG-ASTE;;
A225R;ALBG-ASTE;;
A226B;ALBG-ASTE;;
ARH;ALBG-2-ASTE;;
A131W;ALBG-ASTE;;
A132W;ALBG-ASTE;;
A133W;ALBG-ASTE;;
A134W;ALBG-ASTE;;
AWI;ALBG-1-ASTE;;
A141A;ALBG-ASTE;;
A142A;ALBG-ASTE;;
AASN;ALBG-103-ASTE(1281);;
ASTE;AASN(1281)-5-AM S;;
AM  S;ASTE(1281)-1734-AM  W(1284);;
