RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HSR;;HS  O(1750-2)-305-HS  W(1750-2);HS  O(1750-2)-305-HS  W(1750-2)
HSR W;HS  O(1750-2)-005-HGUE(1750-2);;
H70SD;HS  W-HWUN;;
H71WS;HS  W-HWUN;;
H68SD;HS  W-HWUN;;
H69WS;HS  W-HWUN;;
HDED;HS  W-HWUN;;
HGUE;HS  W-HWUN;;
H64GW;HSR W-HWUN;;
H61WS;HSR W-HWUN;;
HWUN;HGUE(1750)-10-HHAS;;
H01WH;HWUN-HM;;
H03WH;HWUN-HM;;
H103H;HWUN-HM;;
H02HW;HWUN-HM;;
H102H;HWUN-HM;;
H05WH;HWUN-HM;;
H04HW;HWUN-HM;;
HHAS;HWUN-3-HM;;
H07HR;HWUN-HM;;
HRER;HWUN-103-HM;;
H11RL;HWUN-HM;;
H12LR;HWUN-HM;;
H13RL;HWUN-HM;;
H14LR;HWUN-HM;;
HLH;HWUN-1-HM;;
H21LS;HWUN-HM;;
H22SL;HWUN-HM;;
H23LS;HWUN-HM;;
H24SL;HWUN-HM;;
HSHG;HWUN-2-HM;;
H31SK;HWUN-HM;;
H32KS;HWUN-HM;;
H33SK;HWUN-HM;;
H34KS;HWUN-HM;;
HKHN;HWUN-2-HM;;
H41KB;HWUN-HM;;
H42BK;HWUN-HM;;
H43KB;HWUN-HM;;
H44BK;HWUN-HM;;
H45KB;HWUN-HM;;
H46BK;HWUN-HM;;
HBKB;HWUN-3-HM;;
H51BM;HWUN-HM;;
H52MB;HWUN-HM;;
H53BM;HWUN-HM;;
H54MB;HWUN-HM;;
H154M;HWUN-HM;;
H55BM;HWUN-HM;;
HQM;HBKB-HM;;
H56MB;HWUN-HM;;
HM  G;HWUN-103-HM(2990-1);;
HM;HM  G(2990-1)-3-HL(2990);;
H171L;HM-HL;;
H71L;HM-HL;;
H172M;HM-HL;;
H72M;HM-HL;;
H73L;HM-HL;;
H74M;HM-HL;;
HVBK;HM-HL;;
H183O;HVBK-HOYG;;
H184V;HVBK-HOYG;;
HOYG;HM-4-HL;;
HOY;HM(2990)-4-HL(2990);;
HGOF;HM-HL;;
HL;HM(2990)-003-HL G(2993-0);;
HL  G;HL-151-HO;;
HKLG;HL-HO;;
HBDE;HL-24-HO;;
HBDS;HL-HO;;
H99BB;HL-HO;;
H100B;HL-HO;;
HQBU;HL-HO;;
HBUE;HL-2-HO;;
HMEL;HL-1-HO;;
HEHD;HL-HO;;
H12WM;HL-HO;;
HWTH;HL-HO;;
H11WW;HL-HO;;
HWIS;HL-1-HO;;
HLRI;HL-03-HOR O;;
HOR O;;HLRI(1620-0)-158-HOR S(1620-0);HLRI(1620-0)-158-HOR S(1620-0)
