RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HG  G;;HG-111-HNTH;HG-111-HNTH
HG  N;HG-311-HNTH;;
H556G;HG-HNTH;;
H555G;HG-HNTH;;
H554G;HG-HNTH;;
H553G;HG-HNTH;;
H552G;HG-HNTH;;
H551G;HG-HNTH;;
HNTH;HG(1732)-1-HN;;
H37NN;HNTH-HN;;
H36NN;HNTH-HN;;
H35NN;HNTH-HN;;
H34NN;HNTH-HN;;
H33NN;HNTH-HN;;
H32NN;HNTH-HN;;
H31NN;HNTH-HN;;
HN  G;HNTH-101-HK;;
HN;HNTH-1-HK;;
HEDS;HN-HK;;
HEDN;HN-HK;;
H126E;HEDN-HEB;;
H123E;HEDN-HEB;;
H124E;HEDN-HEB;;
H122E;HN-HK;;
H121E;HN-HK;;
H4163;HN-HK;;
HEB;HN-202-HK;;
H4158;HN-HK;;
H4159;HN-HK;;
H4156;HN-HK;;
H0156;HN-HK;;
H4157;HN-HK;;
H4154;HN-HK;;
H4055;HN-HK;;
H4052;HN-HK;;
H4053;HN-HK;;
HK;HEB-302-HELZ;;
H4050;HK-HELZ;;
H4051;HK-HELZ;;
H4048;HK-HELZ;;
H4049;HK-HELZ;;
H4046;HK-HELZ;;
H0146;HK-HELZ;;
H4047;HK-HELZ;;
H4044;HK-HELZ;;
H0145;HK-HELZ;;
H4045;HK-HELZ;;
H3942;HK-HELZ;;
H3943;HK-HELZ;;
H3940;HK-HELZ;;
H3941;HK-HELZ;;
HFRE;HK-302-HELZ;;
H3932;HK-HELZ;;
H3933;HK-HELZ;;
H3930;HK-HELZ;;
H3931;HK-HELZ;;
H3928;HK-HELZ;;
H3829;HK-HELZ;;
H3826;HK-HELZ;;
H0126;HK-HELZ;;
H3827;HK-HELZ;;
H3824;HK-HELZ;;
H0125;HK-HELZ;;
H3825;HK-HELZ;;
HALF;HK-401-HELZ;;
H3820;HK-HELZ;;
H3721;HK-HELZ;;
HGOD;HK-202-HELZ;;
H3716;HK-HELZ;;
H3717;HK-HELZ;;
H3714;HK-HELZ;;
H3715;HK-HELZ;;
H3612;HK-HELZ;;
H3613;HK-HELZ;;
HBAN;HK-301-HELZ;;
H3606;HK-HELZ;;
H3607;HK-HELZ;;
H3604;HK-HELZ;;
H3605;HK-HELZ;;
H3602;HK-HELZ;;
H3603;HK-HELZ;;
HELZ;HK-3-HNOS;;
H08EN;HELZ-HNOS;;
H07NE;HELZ-HNOS;;
H106E;HELZ-HNOS;;
H06EN;HELZ-HNOS;;
H05NE;HELZ-HNOS;;
H04EN;HELZ-HNOS;;
H103E;HELZ-HNOS;;
H03NE;HELZ-HNOS;;
H02EN;HELZ-HNOS;;
H01NE;HELZ-HNOS;;
HNOS;HELZ-12-HHI;;
HROS;HNOS-HHI;;
H5150;HROS-HHI;;
H5550;HROS-HHI;;
H5551;HROS-HHI;;
HEMK;HROS-HHI;;
H5548;HROS-HHI;;
H5149;HROS-HHI;;
H5549;HROS-HHI;;
H5146;HROS-HHI;;
HHTA;HEMK-HHI;;
H5142;HHTA-HHI;;
H5542;HHTA-HHI;;
H5143;HHTA-HHI;;
H5543;HHTA-HHI;;
HHI G;HHTA-232-HHI;;
HHI;HNOS-25-HLER;;
HHRS;HHI-HLER;;
HALG;HHRS-102-HSEN;;
HSEN;HHI-201-HLER;;
H292L;HSEN-H291S;;
H291S;H292L-HLER;;
HLER;;HHI-1-HH;HHI-1-HH
