RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HWU;;HH(1732)-414/714-HORX;HH(1732)-414/714-HORX
HHML;HWU(1733-1)-714-HORX;;
H983R;HH-HORX;;
H993R;HH-HORX;;
HRIT;HH-HORX;;
HGIF;HH-HORX;;
HESR;HH-101-HORX;;
HSOR;HH-HORX;;
H201S;HH-HORX;;
H251D;HH-HORX;;
H203S;HH-HORX;;
H253D;HH-HORX;;
HDI;HH-HORX;;
HAL;HH-301-HORX;;
HNE;HH-HORX;;
HGE;HH-HORX;;
HORX;HH-501-HG;;
HAH;HORX-HNTH;;
H528E;HORX-HNTH;;
H578E;HORX-HNTH;;
HEDM;HORX-HNTH;;
H109N;HORX-HNTH;;
H159S;HORX-HNTH;;
HSUH;HORX-HNTH;;
H204S;HORX-HNTH;;
H254N;HORX-HNTH;;
HNTH;HORX(1733)-54-HG(1733);;
H207G;HNTH-HG;;
H626N;HNTH-HG;;
HG;HORX-10-FKW;;
HSIK;HG(1733)-FKW;;
H633M;HG-FKW;;
H683M;HG-FKW;;
H711J;HG-FKW;;
H712S;HG-FKW;;
HJD;HG-701-FKW;;
YHFJL;HG-FKW;;
FLIP;HJD-FKAT;;
FKAT;FLIP-FLUT;;
FLUT;FKAT-FIH;;
FQIH;FLUT-FIH;;
FIH;FLUT-102-FKWNA;;
F189A;FIH-FKWNA;;
F188B;FIH-FKWNA;;
F199A;FIH-FKWNA;;
F198A;FIH-FKWNA;;
FKWNA;FIH-FKWNB;;
FKWNB;FKWNA-FKW;;
FKWK;FKWNB-FKW;;
FKW;;FKWNB-505-FKW;FKWNB-505-FKW
