RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HG  G;;HNTH-112-HG;HNTH-112-HG
HG;HNTH(1732-1)-6-HEBG;;
HGRN;HG(3600)-HEBG;;
HRDF;HG-1-HEBG;;
H32RO;HG-HEBG;;
H31OR;HG-HEBG;;
HOBJ;HG-1-HEBG;;
H22OF;HG-HEBG;;
H21FU;HG-HEBG;;
HFRI;HOBJ-1-HEBG;;
H06FE;HG-HEBG;;
HQFR;HG-HEBG;;
H03EF;HG-HEBG;;
H04FE;HG-HEBG;;
H01EF;HG-HEBG;;
HEBGN;HG-HEBG;;
HEBG;HG-3-FB;;
FB54;HEBG-FEGW;;
FE53;HEBG-FEGW;;
FB152;HEBG-FEGW;;
FB52;HEBG-FEGW;;
FE51;HEBG-FEGW;;
FB50;HEBG-FEGW;;
FE49;HEBG-FEGW;;
FBRT;HEBG-FEGW;;
FB46;HEBG-FEGW;;
FE45;HEBG-FEGW;;
FB144;HEBG-FEGW;;
FB44;HEBG-FEGW;;
FE43;HEBG-FEGW;;
FE41;HEBG-FEGW;;
FB42;HEBG-FEGW;;
FE141;HEBG-FEGW;;
FBSD;HEBG-2-FEGW;;
YFHAB;FBSD-FEGW;;
F040C;FBSD-FEGW;;
F039B;FBSD-FEGW;;
F038C;FBSD-FEGW;;
F037B;FBSD-FEGW;;
F036C;FBSD-FEGW;;
F035B;FBSD-FEGW;;
F034C;FBSD-FEGW;;
F033B;FBSD-FEGW;;
FEGWW;FBSD-2-FEGW;;
FEGW;FBSD-3-FSON;;
FEGWS;FEGW-FSON;;
F032C;FEGW-FHC;;
F131A;FEGW-FHC;;
FRSA;FEGW-2-FSON;;
FHC;FEGW-FSON;;
F826A;FEGW-FSON;;
F831A;FEGW-FSON;;
F824B;FEGW-FSON;;
F829A;FEGW-FSON;;
FSON;FRSA-801-FCG;;
F822C;FSON-FCG;;
F727A;FSON-FCG;;
F820A;FSON-FCG;;
F725A;FSON-FCG;;
F818C;FSON-FCG;;
FCG;FSON-701-FB;;
FBT;FCG-778-FB;;
F777A;FCG-FB;;
F776A;FCG-FB;;
F773B;FCG-FB;;
F775B;FCG-FB;;
F772B;FCG-FB;;
F774B;FCG-FB;;
FM373;FCG-FB;;
FH370;FCG-FB;;
FM371;FCG-FB;;
FL368;FCG-FB;;
FG369;HEBG-FB;;
FH366;HEBG-FB;;
FM391;FCG-FB;;
FL392;FCG-FB;;
FG391;FCG-FB;;
FH392;FCG-FB;;
FM365;FCG-FB;;
FL364;FCG-FB;;
FG365;FCG-FB;;
FH364;FCG-FB;;
FM353;FCG-FB;;
FL354;FCG-FB;;
FB  A;FBT-FB-3600;;
FB;;FB__A-2-FLAE-3600;FB__A-2-FLAE-3600
