RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
FKW;;FKW-504-FKWNB;FKW-504-FKWNB
FKWK;FKW-FKWNB;;
FKWNB;FKW-FKR-1733/3926;;
FKR;FKWNB-236-FKR_T-1733/3926;;
FKR T;FKR-1-FNV;;
FNV;FKR_T-2-FIH;;
F192A;FNV-FIH;;
F191A;FNV-FIH;;
FIH;FNV-104-FSPE;;
FQIHA;FIH-FSPE;;
F136A;FIH-FSPE;;
F135A;FIH-FSPE;;
FSPE;FIH-403-FHMD;;
F012A;FSPE-FHMD;;
F011A;FSPE-FHMD;;
F010A;FSPE-FHMD;;
FBOF;FSPE-FHMD;;
F009A;FSPE-FHMD;;
FHMD;FSPE-304-FHED;;
F008C;FHMD-FHED;;
F007D;FHMD-FHED;;
FHED;FHMD-1-FWZN;;
FQGT;FHMD-2-FWZN;;
YHFGH;FHED-FGTB;;
H005G;FHED-FWZN;;
FGTB;FSPE-FWZN;;
H006G;FHED-FWZN;;
H004G;FHED-FWZN;;
H003G;FHED-FWZN;;
FWZN;FSPE-1-HEBG;;
HESW;FWZN-HEBG;;
HEBG;FK-5-HG fDf;;
HEBGN;HEBG-HG;;
H01EF;HEBG-HG;;
H04FE;HEBG-HG;;
H03EF;HEBG-HG;;
HQFR;HEBG-HG;;
H06FE;HEBG-HG;;
HFRI;HEBG-2-HOBJ;;
H21FU;HEBG-HG;;
H22OF;HEBG-HG;;
HOBJ;HEBG-2-HG;;
H31OR;HEBG-HG;;
H32RO;HEBG-HG;;
HRDF;HEBG-2-HG;;
HGRN;HEBG-HG(3600);;
HG;HEBG-4-HNTH(1732-2);;
HG  G;;HG-111-HNTH;HG-111-HNTH
