RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HLI;;HLIH(1750)-361-HLI R(1750) GG;HLIH(1750)-361-HLI R(1750) GG
HLI R;HLI(1750)-135-HWHN(1750);;
H885L;HLI-HWHN;;
H894L;HLI-HWHN;;
H875L;HWHN-HLI;;
H884L;HLI-HWHN;;
HWHN;HLI(1750)-HMI(1750);;
HWAM;HLI-HMI;;
H817M;HLI-HLERW;;
H818W;HLI-HLERW;;
H815M;HLI-HLERW;;
H816W;HLI-HLERW;;
H813M;HLI-HLERW;;
H814W;HLI-HLERW;;
HMI;HWAM-021/002-HLER;;
H119A;HLI-HLERW;;
H118A;HLI-HLERW;;
HLERW;;HMI-304-HLER;HLER-304/431-HMI
H118A;HLERW-HLI;;
H119A;HLERW-HLI;;
HMI;HLER-001/013-HWAM;;
H814W;HLERW-HLI;;
H813M;HLERW-HLI;;
H816W;HLERW-HLI;;
H815M;HLERW-HLI;;
H818W;HLERW-HLI;;
H817M;HLERW-HLI;;
HWAM;HMI-HLI;;
HWHN;HMI(1750)-HLI(1750);;
H884L;HWHN-HLI;;
H875L;HLI-HWHN;;
H894L;HWHN-HLI;;
H885L;HWHN-HLI;;
HLI R;HWHN(1750)-134-HLI(1750);;
HLI;HWHN(1750)-004-HWEZ(1760);;
H643B;HLI-HWEZ;;
HHBO;HLI-HWEZ;;
HEMA;HLI-HWEZ;;
HEMP;HHLH(1752)-HWEZ(1760);;
HRBG;HLI-3-HHM;;
HWEZ;HRBG(1760)-2-HHM(1760);;
H11WH;HWEZ-HHM;;
HHOL;HWEZ-HBEN;;
H12BH;HWEZ-HHM;;
HBEN;HWEZ-HHM;;
H13SE;HWEZ-HHM;;
H15SE;HWEZ-HHM;;
H14BE;HWEZ-HHM;;
H16BE;HWEZ-HHM;;
H17SE;HWEZ-HHM;;
HELV;HWEZ-HHM;;
H18SE;HWEZ-HHIG;;
HSPR;HWEZ-1-HHM;;
H31BM;HWEZ-HHM;;
HMDD;HWEZ-HHM;;
H32BD;HWEZ-HHM;;
H650H;HWEZ-HHM;;
H647M;HWEZ-HHM;;
HHM;HWEZ(1760)-102/2-HHIG(1760);;
H653H;HHM-HHIG;;
H652H;HHM-HHIG;;
HEMT;HHM-1-HHIG;;
H65EP;HHM-HHIG;;
H66PE;HHM-HHIG;;
HPRT;HHM-2-HHIG;;
HQPR;HHM-HHIG;;
HLUE;HHM-HHIG;;
H73LS;HHM-HHIG;;
H74SL;HHM-HHIG;;
H174L;HHM-HHIG;;
HSCI;HHM-2-HHIG;;
H82SS;HHM-HHIG;;
H81SS;HHM-HHIG;;
HSTM;HHM-2-HHIG;;
HBHE;HHM-HHIG;;
YDHHB;HBHE-HHIG;;
HHIG;HBHE-2-HLAN;;
H91HA;HHIG-HLAN;;
H92LH;HHIG-HLAN;;
HLAN;HHIG-4-HA;;
HAAT;HLAN-02-HA;;
HA;;HLAN-02-EPD;HLAN-02-EPD
