RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HA;;EPD-01-HLAN;EPD-01-HLAN
HAAT;HA-01-HLAN;;
HLAN;HA-5-HHIG;;
H92LH;HLAN-HHIG;;
H91HA;HLAN-HHIG;;
HHIG;HLAN-1-HBHE;;
YDHHB;HHIG-HBHE;;
HBHE;HHIG-HHM;;
HSTM;HHIG-1-HHM;;
H81SS;HHIG-HHM;;
H82SS;HHIG-HHM;;
HSCI;HHIG-1-HHM;;
H174L;HHIG-HHM;;
H74SL;HHIG-HHM;;
H73LS;HHIG-HHM;;
HLUE;HHIG-HHM;;
HQPR;HHIG-HHM;;
HPRT;HHIG-3-HHM;;
H66PE;HHIG-HHM;;
H65EP;HHIG-HHM;;
HEMT;HHIG-2-HHM;;
H652H;HHIG-HHM;;
H653H;HHIG-HHM;;
HHM;HHIG(1760)-3/103-HWEZ(1760);;
H647M;HHM-HWEZ;;
H650H;HHM-HWEZ;;
H32BD;HHM-HWEZ;;
HMDD;HHM-HWEZ;;
H31BM;HHM-HWEZ;;
HSPR;HHM-2-HWEZ;;
H18SE;HHM-HWEZ;;
HELV;HHM-HWEZ;;
H17SE;HHM-HWEZ;;
H16BE;HHM-HWEZ;;
H14BE;HHM-HWEZ;;
H15SE;HHM-HWEZ;;
H13SE;HHM-HWEZ;;
HBEN;HHM-HWEZ;;
H12BH;HHM-HWEZ;;
HHOL;HBEN-HWEZ;;
H11WH;HHM-HWEZ;;
HWEZ;HHM(1760)-1-HRBG(1760);;
HRBG;HHM-1-HLI;;
HEMP;HWEZ(1760)-HLIH(1752);;
HEMA;HWEZ-HLI;;
HHBO;HWEZ-HLI;;
H643B;HWEZ-HLI;;
HLI;HEMP(1760)-005-HWHN(1750);;
HLI R;HLI(1750)-135-HWHN(1750);;
H885L;HLI-HWHN;;
H894L;HLI-HWHN;;
H875L;HWHN-HLI;;
H884L;HLI-HWHN;;
HWHN;HLI(1750)-HMI(1750);;
HWAM;HLI-HMI;;
H817M;HLI-HLERW;;
H818W;HLI-HLERW;;
H815M;HLI-HLERW;;
H816W;HLI-HLERW;;
H813M;HLI-HLERW;;
H814W;HLI-HLERW;;
HMI;HWAM-021/002-HLER;;
H119A;HLI-HLERW;;
H118A;HLI-HLERW;;
HLERW;HMI-304-HLER;;
HLER;HLERW-11-HHI;;
H291S;HLER-H292L;;
H292L;H291S-HSEN;;
HSEN;HLER-202-HHI;;
HALG;HSEN-101-HHRS;;
HHRS;HLER-HHI;;
HHI;HLER-36-HNOS;;
HHI G;HHI-231-HHTA;;
H5543;HHI-HHTA;;
H5143;HHI-HHTA;;
H5542;HHI-HHTA;;
H5142;HHI-HHTA;;
HHTA;HHI-HEMK;;
H5146;HHI-HROS;;
H5549;HHI-HROS;;
H5149;HHI-HROS;;
H5548;HHI-HROS;;
HEMK;HHI-HROS;;
H5551;HHI-HROS;;
H5550;HHI-HROS;;
H5150;HHI-HROS;;
HROS;HHI-HBNT;;
HBNT;HHI-2-HSRD;;
H82BS;HBNT-HSRD;;
H81SB;HBNT-HSRD;;
HSRD;HBNT-1/11-HRNT;;
H974R;HSRD-HRTN;;
H973S;HSRD-HRTN;;
H972R;HSRD-HRTN;;
H971S;HSRD-HRTN;;
HRTN;HSRD-917/914-HHML;;
H964R;HRTN-HHML;;
H963R;HRTN-HHML;;
HHML;HRTN-716-HWU(1732-2);;
HWU;HHML(1732-2)-416-HSR;;
HWHN;HWU(1753)-HLI(1750);;
H884L;HWHN-HLI;;
H875L;HLI-HWHN;;
H894L;HWHN-HLI;;
H885L;HWHN-HLI;;
HLI R;HWHN(1750)-134-HLI(1750);;
HLI;;HWHN(1750)-004-HWEZ(1760);HWHN(1750)-004-HWEZ(1760)
