RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HXB;HXB-HBTH;;
H001B;HXB-HBTH;;
H002B;HXB-HBTH;;
HBTH;HXB-1-HSAL;;
HSTT;HBTH-HSAL;;
HSAL;HBTH-2-HR;;
H06SR;HSAL-HR;;
H05RS;HSAL-HR;;
HQR;HSAL-HR;;
H2014;HSAL-HR;;
H2024;HSAL-HR;;
H2013;HSAL-HR;;
HR;HSAL-4-HO;;
H08EH;HR-HO;;
H07HE;HR-HHTL;;
H06EH;HR-HHTL;;
H05HE;HR-HHTL;;
HHTL;HR-HESH;;
HESH;HR-1-HO;;
HI;HR-1-HO;;
H04IL;HR-HO;;
HLGG;HR-HO;;
H03VL;HR-HO;;
HVEP;HR-1-HO;;
HLOT;HR-2-HO;;
HQOE;HR-HO;;
HOE;HR-22-HO;;
H44EH;HR-HO;;
H43HE;HR-HO;;
H42EH;HR-HO;;
H41HE;HR-HO;;
HOHT;HR-HO;;
HO  U;HOE(2992-2)-18-HOR O(1622-2);;
HOR O;;HO U(1622-2)-202H/152-HLRI(1620-0);HO U(1622-2)-202H/152-HLRI(1620-0)
