RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HOR O;;HLRI(1620-0)-151/202H-HO U(1622-1);HLRI(1620-0)-151/202H-HO U(1622-1)
HO  U;HOR O(1622-1)-17-HOE(2992-1);;
HOHT;HO-HR;;
H41HE;HO-HR;;
H42EH;HO-HR;;
H43HE;HO-HR;;
H44EH;HO-HR;;
HOE;HO--HR;;
HQOE;HO-HR;;
HLOT;HO-1-HR;;
HVEP;HO-2-HR;;
H03VL;HO-HR;;
HLGG;HO-HR;;
H04IL;HO-HR;;
HI;HO-2-HR;;
HESH;HO-2-HR;;
HHTL;HESH-HR;;
H05HE;HHTL-HR;;
H06EH;HHTL-HR;;
H07HE;HHTL-HR;;
H08EH;HO-HR;;
HR;HO-1-HSAL;;
H2013;HR-HSAL;;
H2024;HR-HSAL;;
H2014;HR-HSAL;;
HQR;HR-HSAL;;
H05RS;HR-HSAL;;
H06SR;HR-HSAL;;
HSAL;HR-5-HLAT;;
HEM;HSAL-HHKF;;
HLED;HR-1-HLAT;;
HHKF;HR-1-HLAT;;
HFAS;HR-HLAT;;
HLIG;HR-2-HLAT;;
HLIS;HR-HLAT;;
HHOHA;HR-HLAT;;
HGEE;HR-HLAT;;
H01GM;HR-HLAT;;
H02ML;HR-HLAT;;
HMEP;HR-2-HLAT;;
H11MH;HR-HLAT;;
H12HM;HR-HLAT;;
HRWA;HR-HLAT;;
HHAR;HR-2-HLAT;;
H01HL;HR-HLAT;;
H02LH;HR-HLAT;;
HLAT;HR-2-HLEE;;
H21LD;HLAT-HLEE;;
H22DL;HLAT-HLEE;;
HDOP;HLAT-2-HLEE;;
HLE;HLAT-HLEE;;
HASD;HLAT-2-HLEE;;
HPAP;HLAT-1-HLEE;;
HIHV;HLAT-1-HLEE;;
H01PL;HLAT-HE R;;
H02LP;HLAT-HE R;;
HLEEA;HIHV-HLEEP;;
HLEEP;HLAT-102-HLEE;;
HLEE;HLAT-002-HE;;
HNM;HLEE-HE;;
H05LO;HLEE-HE;;
H06OL;HLEE-HE;;
HODU;HLEE-2-HE;;
H351E;HLEE-HE;;
H354E;HLEE-HE;;
HER;;HLEE-140-HE;HLEE-140-HE
