RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HSR O;;HSR(1750-1)-108-HAHM(1750-1);HSR(1750-1)-108-HAHM(1750-1)
H989S;HS  O-HLI;;
HAHM;HS  O-HWHN;;
H993S;HS  O-HLI;;
H992A;HS  O-HLI;;
HLIH;HAHM-HLI;;
HLI;HLIH(1750)-005-HWHN(1750);;
HLI R;HLI(1750)-135-HWHN(1750);;
H885L;HLI-HWHN;;
H894L;HLI-HWHN;;
H875L;HWHN-HLI;;
H884L;HLI-HWHN;;
HWHN;HLI(1750)-HMI(1750);;
HWAM;HLI-HMI;;
H817M;HLI-HLERW;;
H818W;HLI-HLERW;;
H815M;HLI-HLERW;;
H816W;HLI-HLERW;;
H813M;HLI-HLERW;;
H814W;HLI-HLERW;;
HMI;HWAM-021/002-HLER;;
H119A;HLI-HLERW;;
H118A;HLI-HLERW;;
HLERW;;HMI-304-HLERN;HMI-304-HLERN
