RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
HLERW;;HLERN-301-HMI;HLERN-301-HMI
H118A;HLERW-HLI;;
H119A;HLERW-HLI;;
HMI;HLER-001/013-HWAM;;
H814W;HLERW-HLI;;
H813M;HLERW-HLI;;
H816W;HLERW-HLI;;
H815M;HLERW-HLI;;
H818W;HLERW-HLI;;
H817M;HLERW-HLI;;
HWAM;HMI-HLI;;
HWHN;HMI(1750)-HLI(1750);;
H884L;HWHN-HLI;;
H875L;HLI-HWHN;;
H894L;HWHN-HLI;;
H885L;HWHN-HLI;;
HLI R;HWHN(1750)-134-HLI(1750);;
HLI;HWHN(1750)-004-HLIH(1750);;
HLIH;HLI-544-HAHM;;
H992A;HLI-HS  O;;
H993S;HLI-HS  O;;
HAHM;HWHN-HS  O;;
H989S;HLI-HS  O;;
HSR O;;HAHM(1750-2)-005-HSR(1750-2);HAHM(1750-2)-005-HSR(1750-2)
