RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WW;;WW N-2-WWIL;WW N-2-WWIL
W3094;WW-WWIL;;
W3095;WW-WWIL;;
W3092;WW-WWIL;;
W3090;WW-WWIL;;
W3091;WW-WWIL;;
W3674;WW-WWIL;;
W3675;WW-WWIL;;
W3694;WW-WWIL;;
W3672;WW-WWIL;;
W3673;WW-WWIL;;
WWIL;WW-2-WGF;;
W3684;WWIL-WGF;;
W3585;WWIL-WGF;;
W3595;WWIL-WGF;;
W3582;WWIL-WGF;;
W3592;WWIL-WGF;;
W3583;WWIL-WGF;;
WGF;WWIL-2-WBDN;;
W3586;WGF-WBDN;;
W3495;WGF-WBDN;;
W3484;WGF-WBDN;;
W3485;WGF-WBDN;;
W3492;WGF-WBDN;;
W3482;WGF-WBDN;;
W3483;WGF-WBDN;;
WBDN;WGF-2-WNS;;
W3488;WBDN-WNS;;
W3489;WBDN-WNS;;
W3486;WBDN-WNS;;
W3496;WBDN-WNS;;
W3487;WBDN-WNS;;
W3396;WBDN-WNS;;
W3387;WBDN-WNS;;
W3389;WBDN-WNS;;
W3385;WBDN-WNS;;
W3390;WBDN-WNS;;
WNS;WBDN-2-WFRK;;
WNS G;;WBDN-2-WFRK;WBDN-2-WFRK
