RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WNS G;;WFRK-1-WNS;WFRK-1-WNS
WNS;WFRK-1-WBDN;;
W3390;WNS-WBDN;;
W3385;WNS-WBDN;;
W3389;WNS-WBDN;;
W3387;WNS-WBDN;;
W3396;WNS-WBDN;;
W3487;WNS-WBDN;;
W3496;WNS-WBDN;;
W3486;WNS-WBDN;;
W3489;WNS-WBDN;;
W3488;WNS-WBDN;;
WBDN;WNS-1-WGF;;
W3483;WBDN-WGF;;
W3482;WBDN-WGF;;
W3492;WBDN-WGF;;
W3485;WBDN-WGF;;
W3484;WBDN-WGF;;
W3495;WBDN-WGF;;
W3586;WBDN-WGF;;
WGF;WBDN-1-WWIL;;
W3583;WGF-WWIL;;
W3592;WGF-WWIL;;
W3582;WGF-WWIL;;
W3595;WGF-WWIL;;
W3585;WGF-WWIL;;
W3684;WGF-WWIL;;
WWIL;WGF-1-WW;;
W3673;WWIL-WW;;
W3672;WWIL-WW;;
W3694;WWIL-WW;;
W3675;WWIL-WW;;
W3674;WWIL-WW;;
W3091;WWIL-WW;;
W3090;WWIL-WW;;
W3092;WWIL-WW;;
W3095;WWIL-WW;;
W3094;WWIL-WW;;
WW;;WWIL-7-WW N;WWIL-7-WW N
