RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WW;;WWIL-3-WW N 60;WWIL-3-WW N 60
WW  N;WW-61-WDN;;
W3775;WW-WDN;;
W3776;WW-WDN;;
W3779;WW-WDN;;
W3796;WW-WDN;;
W3780;WW N-WDN;;
W3787;WW-WDN;;
W3784;WW-WDN;;
W3795;WW-WDN;;
W3791;WW-WDN;;
W3788;WW-WDN;;
WDN;WW-1-WKT;;
W3783;WDN-WKT;;
W3782;WDN-WKT;;
W3785;WDN-WKT;;
W3794;WDN-WKT;;
W3786;WDN-WKT;;
W5187;WDN-WKT;;
W5188;WDN-WKT;;
W5195;WDN-WKT;;
W5191;WDN-WKT;;
W5190;WDN-WKT;;
WKT;WDN-01-WKWA;;
W5183;WKT-WKWA;;
W5182;WKT-WKWA;;
W5185;WKT-WKWA;;
W5194;WKT-WKWA;;
W5184;WKT-WKWA;;
W5287;WKT-WKWA;;
W5286;WKT-WKWA;;
W5289;WKT-WKWA;;
W5295;WKT-WKWA;;
W5288;WKT-WKWA;;
W5291;WKT-WKWA;;
W5290;WKT-WKWA;;
WKWA;WKT-1-WGRB;;
WQKW;WKWA-WGRB;;
W5283;WKWA-WGRB;;
W5282;WKWA-WGRB;;
W5285;WKWA-WGRB;;
W5294;WKWA-WGRB;;
W5284;WKWA-WGRB;;
W5387;WKWA-WGRB;;
W5395;WKWA-WGRB;;
W5386;WKWA-WGRB;;
W5389;WKWA-WGRB;;
W5388;WKWA-WGRB;;
WGRB;WKWA-1-WL;;
W5383;WGRB-WL;;
W5382;WGRB-WL;;
W5485;WGRB-WL;;
W5484;WGRB-WL;;
W5487;WGRB-WL;;
W5486;WGRB-WL;;
WL;WGRB-11-WHO;;
W5471;WL-WLOW;;
W5472;WL-WLOW;;
WLOW;WL-2-WRW;;
WRW;WL-2-WHO;;
WSLT;WRW-WHO;;
WHO;WL-1-WSGR;;
WSS;WHO-WSGR;;
W6383;WHO-WSGR;;
W6394;WHO-WSGR;;
WSGR;WHO-1-WS;;
WSGN;WSGR-WS;;
W6293;WSGR-WS;;
W6292;WSGR-WS;;
WSMI;WSGR-WS;;
WS;WSGR-3-WK;;
WCAH;WS-1-WLST;;
WLST;WS-1-WK;;
W 91;WLST-WK;;
W 92;WLST-WK;;
W 94;WLST-WK;;
W 93;WLST-WK;;
W 96;WLST-WK;;
WK;WLST-1-WVE;;
WVE;WK-WB;;
WBL;WVE-1-WWRN;;
WFRW;WBL-WWRN;;
WWRN;WBL-1-WB;;
WB;WWRN-5-WSNA;;
WSN S;WB-1-WSN;;
WSN;WSNA-11-WPOE;;
WHU;WSN-WPOE;;
WPOE;WSN-1-WDF;;
WPF;WPOE-WDF;;
WDF;WSN-WWBW;;
WDF N;WSN-WWBW;;
WWBW;WDF-WWBO;;
WWBO;WWBW-WRK;;
WRK;WWBO-WRKD;;
WRKD;WWBO-WRS;;
WRSS;WRKD-42-WRS;;
WRS;;WRSS-42/135-WRSN;WRSS-42/135-WRSN
