RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WNAS;;WGRG-2-BOR D1;WGRG-2-BOR D1
BSAH;BFN-BOR;;
BOR;WNAS-28-BBI;;
BBOD;BOR-BBI;;
BBI N;BOR-1-BBI;;
BBI;BOR-1-BSFW KK;;
BSFW;BBI-KK-BSFL GR;;
BSFL;BSFW-2-BAKW;;
BFL;BSFL-BAKW;;
BQAK;BSFL-BAKW;;
BAKW;BSFL-BAKO;;
YBBAK;BAKW-BAKO;;
BAKO;BAKW-BBKN;;
B 516;BAKO-BHSH;;
B 517;BAKO-BHSH;;
B 510;BAKO- BHSH;;
B 513;BAKO-BHSH;;
BHSH;BAKO-BBKN;;
B 502;BHSH-BBKN;;
B 503;BHSH-BBKN;;
B 500;BHSH-BBKN;;
B 501;BHSH-BBKN;;
YBBIK;BAKO-BBKN;;
BBKN;;BHSH-2-BBIKS;BHSH-2-BBIKS
