RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBKN;;BBIKS-1-BHSH;BBIKS-1-BHSH
YBBIK;BBKN-BAKO;;
B 501;BBKN-BHSH;;
B 500;BBKN-BHSH;;
B 503;BBKN-BHSH;;
B 502;BBKN-BHSH;;
BHSH;BBKN-BAKO;;
B 513;BHSH-BAKO;;
B 510;BHSH-BAKO;;
B 517;BHSH-BAKO;;
B 516;BHSH-BAKO;;
BAKO;BBKN-BAKW;;
YBBAK;BAKO-BAKW;;
BAKW;BAKO-BSFL;;
BQAK;BAKW-BSFL;;
BFL;BAKW-BSFL;;
BSFL;BAKW-1-BSFW;;
BSFW;BSFL-KK-BBI;;
BBI;BSFW-1-BOR KK;;
BBI N;BBI-1-BOR;;
BBOD;BBI-BOR;;
BOR;BBI-21-WNAS;;
BSAH;BOR-BFN;;
WNAS;;BOR-1-WGRG;BOR-1-WGRG
