RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WBT;;WE-2-BBRN;WE-2-BBRN
W9402;WBT-BBRN;;
W9401;WBT-BBRN;;
WRZ;WBT-BBRN;;
W9206;WBT-BBRN;;
W9205;WBT-BBRN;;
BBRN;WBT-4-BKAR;;
B9203;BBRN-BKAR;;
B9204;BBRN-BKAR;;
BQBU;BBRN-BKAR;;
B9201;BBRN-BKAR;;
B9202;BBRN-BKAR;;
BKAR;BBU-1-BAKO;;
BAKO;BKAR-BBKN;;
B 516;BAKO-BHSH;;
B 517;BAKO-BHSH;;
B 510;BAKO- BHSH;;
B 513;BAKO-BHSH;;
BHSH;BAKO-BBKN;;
B 502;BHSH-BBKN;;
B 503;BHSH-BBKN;;
B 500;BHSH-BBKN;;
B 501;BHSH-BBKN;;
YBBIK;BAKO-BBKN;;
BBKN;;BHSH-2-BBIKS;BHSH-2-BBIKS
