RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BBKN;;BBIKS-1-BHSH;BBIKS-1-BHSH
YBBIK;BBKN-BAKO;;
B 501;BBKN-BHSH;;
B 500;BBKN-BHSH;;
B 503;BBKN-BHSH;;
B 502;BBKN-BHSH;;
BHSH;BBKN-BAKO;;
B 513;BHSH-BAKO;;
B 510;BHSH-BAKO;;
B 517;BHSH-BAKO;;
B 516;BHSH-BAKO;;
BAKO;BBKN-BKAR;;
BKAR;BAKO-1-BBU;;
B9202;BKAR-BBRN;;
B9201;BKAR-BBRN;;
BQBU;BKAR-BBRN;;
B9204;BKAR-BBRN;;
B9203;BKAR-BBRN;;
BBRN;BKAR-5-WBT;;
W9205;BBRN-WBT;;
W9206;BBRN-WBT;;
WRZ;BBRN-WBT;;
W9401;BBRN-WBT;;
W9402;BBRN-WBT;;
WBT;;BBRN-1-WE;BBRN-1-WE
