RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
WBT;;WE-2-BBRN;WE-2-BBRN
W9402;WBT-BBRN;;
W9401;WBT-BBRN;;
WRZ;WBT-BBRN;;
W9206;WBT-BBRN;;
W9205;WBT-BBRN;;
BBRN;WBT-4-BKAR;;
B9203;BBRN-BKAR;;
B9204;BBRN-BKAR;;
BQBU;BBRN-BKAR;;
B9201;BBRN-BKAR;;
B9202;BBRN-BKAR;;
BKAR;BBU-2-BBKB;;
BBKB;BKAR-5-BGS;;
B 704;BBKB-704-BBOF;;
B 706;BBKB-704-BBOF;;
B 705;BBKB-704-BBOF;;
B 703;BBKB-704-BBOF;;
BBOF;BBKB-1704-2206-BGS;;
BGS;BBOF-136-BWDG;;
BWDG;BGS-394-BMOA;;
BMOAO;BWDG-394-BMOA;;
BMOA;;BWDG-364/334/134-BCHG;BWDG-364/334/134-BCHG
