RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BMOA;;BCHG-133/333/363-BGS;BCHG-133/333/363-BGS
BMOAO;BMOA-393-BWDG;;
BWDG;BMOA-393-BGS;;
BGS;BWDG-140-BBOF;;
BBOF;BGS-2210-1703/R-BBKB;;
B 703;BBOF-703-BBKB;;
B 705;BBOF-703-BBKB;;
B 706;BBOF-703-BBKB;;
B 704;BBOF-703-BBKB;;
BBKB;BGS-703/6-BKAR;;
BKAR;BBKB-1-BBU;;
B9202;BKAR-BBRN;;
B9201;BKAR-BBRN;;
BQBU;BKAR-BBRN;;
B9204;BKAR-BBRN;;
B9203;BKAR-BBRN;;
BBRN;BKAR-5-WBT;;
W9205;BBRN-WBT;;
W9206;BBRN-WBT;;
WRZ;BBRN-WBT;;
W9401;BBRN-WBT;;
W9402;BBRN-WBT;;
WBT;;BBRN-1-WE;BBRN-1-WE
