RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BRSF;;BZO-1-BBF;BZO-1-BBF
B  14;BRSF-BBF;;
B  15;BRSF-BBF;;
BDT;BRSF-BBF;;
B  12;BRSF-BBF;;
B  10;BRSF-BBF;;
B  13;BRSF-BBF;;
BBF;BDT-BAG S;;
BAG S;BBF-2/022-BAG W;;
BAG W;BAG S-022/052-BDDF;;
BDDF;BAG W-2-BGH;;
B1090;BDDF-BGHO;;
B2090;BDDF-BGHO;;
B2089;BDDF-BGHO;;
B1089;BDDF-BGHO;;
B1088;BDDF-BGHO;;
B2088;BDDF-BGHO;;
B2087;BDDF-BGHO;;
B1087;BDDF-BGHO;;
B1086;BDDF-BGHO;;
B2086;BDDF-BGHO;;
B2083;BDDF-BGHO;;
B1083;BDDF-BGHO;;
BGHO;BAG W-BGH;;
BGH M;BGHO-BGH N;;
BGH N;BGHO-BBGN;;
BGBW;BGH N-BGSB;;
BGSBS;BGBW-S-BTL;;
B2224;BBGN-BTL;;
B2213;BGSB-BPAF;;
BTL;BGSB-S-3-S-BPAF;;
B1113;BGSB-BPAF;;
BQTL;BGSB-BPAF;;
B1212;BGSB-BPAF;;
B1111;BGSB-BPAF;;
B1210;BGSB-BPAF;;
B1107;BGSB-BPAF;;
BLIH;BGSB-S-BPAF;;
B1206;BGSB-BPAF;;
B1106;BGSB-BPAF;;
B5424;BGSB-BPAF;;
B5423;BGSB-BPAF;;
B5414;BGSB-BPAF;;
B5413;BGSB-BPAF;;
B5422;BGSB-BPAF;;
B5421;BGSB-BPAF;;
B5412;BGSB-BPAF;;
B5411;BGSB-BPAF;;
BPAFS;BTL-S-38/7/8-BPAF;;
BPAF;BMD-8-U-BL;;
B5214;BPAF-U-BL;;
B5244;BPAF-U-BL;;
B5212;BPAF-U-BL;;
B5242;BPAF-U-BL;;
B5213;BPAF-U-BL;;
B5243;BPAF-U-BL;;
BPOF;BPAF-4-BL;;
B5141;BPAF-U-BL;;
B5111;BPAF-U-BL;;
BL;BPAF-U-8-U-BMOA;;
BMOA;;BL-366/336/501-BWD;BL-366/336/501-BWD
