RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BMOA;;BWD-502/335/365-BL;BWD-502/335/365-BL
BL;BMOA-R-1-R-BPAF;;
B5111;BL-R-BPAF;;
B5141;BL-R-BPAF;;
BPOF;BL-1-BPAF;;
B5243;BL-R-BPAF;;
B5213;BL-R-BPAF;;
B5242;BL-R-BPAF;;
B5212;BL-R-BPAF;;
B5244;BL-R-BPAF;;
B5214;BL-R-BPAF;;
BPAF;BL-R-3-BTL H160;;
BPAFS;BPAF-33-R-BTL;;
B5411;BPAF-BGSB;;
B5412;BPAF-BGSB;;
B5421;BPAF-BGSB;;
B5422;BPAF-BGSB;;
B5413;BPAF-BGSB;;
B5414;BPAF-BGSB;;
B5423;BPAF-BGSB;;
B5424;BPAF-BGSB;;
B1106;BPAF-BGSB;;
B1206;BPAF-BGSB;;
BLIH;BPAF-R-BGSB;;
B1107;BPAF-BGSB;;
B1210;BPAF-BGSB;;
B1111;BPAF-BGSB;;
B1212;BPAF-BGSB;;
BQTL;BPAF-BGSB;;
B1113;BPAF-BGSB;;
BTL;BPAF-R-2-R-BGSB;;
B2213;BPAF-BGSB;;
B2224;BTL-BBGN;;
BGSBS;BTL-R-BGBW;;
BGBW;BGSB-BGH N;;
BGH N;BBGN-BGHO;;
BGH M;BGH N-BGHO;;
BGHO;BGH-BAG W;;
B1083;BGHO-BDDF;;
B2083;BGHO-BDDF;;
B2086;BGHO-BDDF;;
B1086;BGHO-BDDF;;
B1087;BGHO-BDDF;;
B2087;BGHO-BDDF;;
B2088;BGHO-BDDF;;
B1088;BGHO-BDDF;;
B1089;BGHO-BDDF;;
B2089;BGHO-BDDF;;
B2090;BGHO-BDDF;;
B1090;BGHO-BDDF;;
BDDF;BGH-1-BAG W;;
BAG W;BDDF-051/022-BAG S;;
BAG S;BAG W-022/1-BBF;;
BBF;BAG S-BDT;;
B  13;BBF-BRSF;;
B  10;BBF-BRSF;;
B  12;BBF-BRSF;;
BDT;BBF-BRSF;;
B  15;BBF-BRSF;;
B  14;BBF-BRSF;;
BRSF;;BBF-2-BZO;BBF-2-BZO
