RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BTN;;BLD-2-BLF;BLD-2-BLF
B 111;BTN-BLF;;
BTHR;BTN-BLF;;
B 210;BLD-BLF;;
B 206;BLD-BLF;;
B 105;BTF-BLF;;
BLF;BTN-2-BGHO;;
BBSH;BLF-BBGS;;
BBGS;BLF-BGHO;;
BGHO;BBG S-BAG W;;
B1083;BGHO-BDDF;;
B2083;BGHO-BDDF;;
B2086;BGHO-BDDF;;
B1086;BGHO-BDDF;;
B1087;BGHO-BDDF;;
B2087;BGHO-BDDF;;
B2088;BGHO-BDDF;;
B1088;BGHO-BDDF;;
B1089;BGHO-BDDF;;
B2089;BGHO-BDDF;;
B2090;BGHO-BDDF;;
B1090;BGHO-BDDF;;
BDDF;BGH-1-BAG W;;
BAG W;BDDF-051/041-BAG O;;
BAG O;BAG W-041-BFHS-T;;
B2123;BAG O-BASC;;
BASC;BAG O-BFHS;;
B2124;BASC-BFHS;;
B1125;BASC-BFHS;;
B2125;BASC-BFHS;;
B1127;BASC-BFHS;;
B2127;BASC-BFHS;;
B1126;BASC-BFHS;;
B2126;BASC-BFHS;;
B1129;BAG O-T-BFHS;;
B2129;BAG O-T-BFHS;;
B1128;BAG O-T-BFHS;;
B2128;BAG O-T-BFHS;;
B1130;BAG O-T-BFHS;;
B2130;BAG O-T-BFHS;;
BFHS;;BAG O-1/1/5-BGK S;BAG O-1/1/5-BGK S
