RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
BFHS;;BGK S-1/2/2-BAG O;BGK S-1/2/2-BAG O
B2130;BFHS-U-BAG O;;
B1130;BFHS-U-BAG O;;
B2128;BFHS-U-BAG O;;
B1128;BFHS-U-BAG O;;
B2129;BFHS-U-BAG O;;
B1129;BFHS-U-BAG O;;
B2126;BFHS-BAG O;;
B1126;BFHS-BAG O;;
B2127;BFHS-BAG O;;
B1127;BFHS-BAG O;;
B2125;BFHS-BAG O;;
B1125;BFHS-BAG O;;
B2124;BFHS-BAG O;;
BASC;BFHS-BAG O;;
B2123;BFHS-BAG O;;
BAG O;BFHS-U-042-BAG W;;
BAG W;BAG O-042/052-BDDF;;
BDDF;BAG W-2-BGH;;
B1090;BDDF-BGHO;;
B2090;BDDF-BGHO;;
B2089;BDDF-BGHO;;
B1089;BDDF-BGHO;;
B1088;BDDF-BGHO;;
B2088;BDDF-BGHO;;
B2087;BDDF-BGHO;;
B1087;BDDF-BGHO;;
B1086;BDDF-BGHO;;
B2086;BDDF-BGHO;;
B2083;BDDF-BGHO;;
B1083;BDDF-BGHO;;
BGHO;BAG W-BBG S;;
BBGS;BGHO-BLF;;
BBSH;BBGS-BLF;;
BLF;BGHO-2-BTN;;
B 105;BLF-BTN;;
B 206;BLF-BLD;;
B 210;BLF-BLD;;
BTHR;BLF-BTN;;
B 111;BLF-BTN;;
BTN;;BLF-1-BLD;BLF-1-BLD
